source,url,title,publication_date,text
The Observer,https://observer.ug/news/police-recover-gun-used-in-soroti-mobile-money-agent-murder/,Police recover gun used in Soroti mobile money agent murder,2026-04-12,"The Observer East Kyoga regional police have recovered an AK-47 rifle believed to have been used in the murder of Patricia Kokunda, a mobile money agent who was killed in Soroti last week. Kokunda was shot dead on April 3, 2026, at approximately 4:40 a.m. while boarding a commuter taxi at Teso Coach Park along Station road in Soroti city. She was travelling to Ocorimogin cattle market in Katakwi district, where she operated a weekly mobile money business. According to police, armed assailants attacked her at the park, robbing her of cash before fatally shooting her. In a statement, police confirmed the arrest of five suspects in connection with the crime: Alex Okello, Felix Onego, Simon Epeu, also known as Iboda, Elacu Alfred, believed to be the gunman, and another suspect who was found in possession of the recovered firearm in Karamoja. Authorities have withheld the identity of the latter as investigations continue. Security operations that followed the killing led to the arrest of Epeu in Anyara, where officers recovered Shs 7 million suspected to be part of the stolen money. Kokunda’s smartphone was later discovered abandoned in a bush in Kichinjani Ward, Soroti City. East Kyoga regional police commander Ibrahim Saiga confirmed the recovery of the weapon, noting that investigations are ongoing to establish how it came into the suspects’ possession. “We have recovered the suspected murder weapon and are continuing with inquiries into its origin,” Saiga said. He added that all five suspects remain in custody and are providing information critical to the investigation. “We have intensified operations in this case and will ensure that everyone involved in the aggravated robbery and murder is brought to justice,” he said. Footage of the shooting of the mobile money agent in Soroti City. pic.twitter.com/VanqvJlYmq Your email address will not be published. Required fields are marked * Comment * Name * Email * Website Save my name, email, and website in this browser for the next time I comment. Δ Sign up and get daily updates right to your inbox. Link Copy link"
The Observer,https://observer.ug/news/court-jails-ex-minister-nandutu-for-four-years-over-iron-sheets-theft/,Court jails ex-minister Nandutu for four years over iron sheets theft,2026-04-12,"The Observer The Anti-Corruption court has sentenced Agnes Nandutu, former state minister for Karamoja Affairs and outgoing Bududa Woman MP, to four years in prison. The sentence, delivered by justice Jane Okuo Kajuga, marks a significant development in government efforts to crack down on the diversion of relief materials meant for vulnerable communities in the Karamoja sub-region. In addition to the custodial sentence, the court barred Nandutu from holding public office for 10 years, effectively halting her political career. In her ruling, Justice Kajuga emphasised that Nandutu held positions of “impeccable trust” in both the executive and the legislature, and that her actions amounted to a betrayal of that trust. The case centred on 2,000 iron sheets, part of a larger consignment intended to support reformed Karachuna and elderly persons in Karamoja. The court noted that out of 10,000 iron sheets under the programme, only 1,000 reached the intended beneficiaries. “These are offices held in trust for the good of the people and the country,” Kajuga said. “The project was aimed at supporting disarmament and restoring peace.” The court applied the Constitution (Sentencing Guidelines) Practice Directions of 2013, weighing aggravating and mitigating factors. Among the aggravating factors, the court found that Nandutu used her position for personal gain and that the offence involved essential goods meant for a vulnerable community. It also held that, as a minister, she had a duty of the highest order to ensure proper implementation of public policy. Kajuga ruled that these factors outweighed the mitigation presented by the defence, which had urged leniency on grounds that Nandutu is a first-time offender, a single mother of seven and the sole breadwinner for her ailing 80-year-old mother. The court also considered her public apology to the President, the people of Karamoja and the country, as well as her return of the iron sheets and payment for those that were missing. However, while acknowledging her health condition and family responsibilities, the judge noted that the defence had not provided updated medical evidence to prove she was unfit for imprisonment. Kajuga also declined to impose a fine in lieu of a custodial sentence. Under Section 21(1) of the Anti-Corruption Act, the maximum fine is 160 currency points, equivalent to Shs 3.2 million. She described the amount as “paltry” and “inadequate” for an offence of such magnitude. “The sentence must be proportionate to the crime committed. A fine of Shs 3.2 million is too low and does not reflect the seriousness of the offence,” Kajuga said, adding that the legislature may need to review the prescribed penalties. Your email address will not be published. Required fields are marked * Comment * Name * Email * Website Save my name, email, and website in this browser for the next time I comment. Δ Sign up and get daily updates right to your inbox. Link Copy link"
The Observer,https://observer.ug/news/food-prices-rise-in-nebbi-after-vendor-evictions/,Food prices rise in Nebbi after vendor evictions,2026-04-10,"The Observer Food prices in Nebbi town have risen following the eviction of street vendors by municipal authorities. The vendors had been operating in kiosks and makeshift structures within the town. The move has left many vendors struggling to make ends meet, while consumers, particularly low-income earners, say they are feeling the impact as affordable food options disappear. Some vendors have reportedly turned to farming after being pushed out of town following the enforcement of the trade order. Residents say the eviction has affected food accessibility and affordability, forcing many to move longer distances in search of cheaper meals. Jeremy Akenda, a resident of Nebbi town, said accessing affordable food has become difficult since the eviction. “The established places where we used to eat local food at Shs 3,000 have raised the price to Shs 5,000, and it is likely to go higher because the local eating joints are no longer in town,” Akenda said. Alice Giramiah, a food vendor along Arua Road in Nebbi municipality, said the eviction of kiosks in the town business centre has affected her business, noting that most of her customers were kiosk operators. She added that despite rising prices elsewhere, she has not increased her charges due to reduced customer turnout. “Before the eviction, I used to sell 5kg of meat daily, but after the eviction, I hardly sell 2kg because most of my customers are no longer available. Paying rent may become a problem in the coming months if things do not change,” Giramiah said. She noted that the impact of the evictions has been widespread, with some vendors reporting losses while others are still struggling to adapt to new trading spaces. Another vendor, Evelyn Acen, said prices have increased significantly since the eviction. She explained that before the enforcement, a plate of meat or fish cost Shs 5,000 while beans or greens went for Shs 2,000. These have since risen to Shs 7,000 and Shs 3,000 respectively. Although authorities say the eviction is part of efforts to restore order and improve sanitation, vendors argue they play a vital role in providing affordable meals and are appealing for alternative spaces to operate. The eviction of kiosks and makeshift structures in the central business district is intended to pave way for infrastructure development, including the installation of streetlights, walkways and drainage systems along the 33-kilometre Alwi–Nebbi town road currently under construction by China Railway 18 Bureau Group. Your email address will not be published. Required fields are marked * Comment * Name * Email * Website Save my name, email, and website in this browser for the next time I comment. Δ Sign up and get daily updates right to your inbox. Link Copy link"
The Observer,https://observer.ug/news/nandutu-apologises-to-museveni-over-iron-sheets-theft-pleads-for-non-custodial-sentence/,"Nandutu apologises to Museveni over iron sheet theft, pleads for non-custodial sentence",2026-04-10,"The Observer Former state minister for Karamoja Affairs Agnes Nandutu has pleaded with the Anti-Corruption court for a non-custodial sentence, citing failing health and her responsibilities as a single mother. The court had scheduled to deliver its final verdict at 3:00 pm today following her conviction for diversion of iron sheets intended for vulnerable communities in Karamoja. The prosecution team of state attorneys pushed for a deterrent sentence, arguing that Nandutu’s actions constituted a clear abuse of office and breach of public trust. Senior state attorney Innocent Aleto asked the court to impose a custodial sentence of five years’ imprisonment, disqualification from holding public office for 10 years, and a fine of Shs 3.2 million, equivalent to the maximum 160 currency points prescribed in law. The state argued that although Nandutu is a first-time offender, the “premeditated and sophisticated” nature of the offence — including moving the iron sheets to a private farm for nine months — negated any claim of mistake. “This was not an impulsive act, but a carefully orchestrated course of conduct designed to evade scrutiny,” the prosecution submitted. Taking the stand before the afternoon recess, an emotional Nandutu apologised to the President, the people of Karamoja and the country. “I am apologetic. Whatever happened, I’m sorry. I was misled,” Nandutu told court. “I willingly returned the iron sheets after finding out they were intended for Karamoja, and I paid for those that were missing in cash.” Nandutu’s defence centred on her personal and medical challenges. She told court she suffers from blood clots in her lungs, a condition she said causes her to collapse unexpectedly. She also described herself as the sole breadwinner for her seven children and an 80-year-old mother battling cancer. “I am the only child remaining now. My father died during the stress of this case,” she said, asking the court for a non-custodial sentence to enable her continue supporting her family. While the prosecution sought a restitution order, the defence argued that Nandutu had already compensated government for any deficit. Counsel submitted that even the iron sheets allegedly lost in transit while under police custody were paid for by the convict, as reflected in defence exhibits. They argued that since government had been made whole through recoveries and compensation, a prison sentence would be unnecessarily punitive. Justice Jane Okuo Kajuga said she would deliver her ruling after analysing submissions from the prosecution, defence and the convict. 2 Comments In order to save the faces of the big shots: VP Alupo; the Prime Minister, Robina Nabanja; Min State Finance, Lugolobi and Minister of Finance, Hon Matiya (Mateo) Byabasaija; etc., who were equally found pants down with the Kajong Iron shits in their compound, they had to throw a few Iron shits in the direction of naïve and unsuspecting Nandutu and nail her. In other words, now Dishonourable Nandutu was literally sacrificed on the Alter of Corruption (a perfect scapegoat). And her apology to our PROBLEM OF AFRICA is inconsequential her future has been irreversibly ruined. In any case, in the African PR, a child who likes sitting near elders is blamed for any elder’s loose fart stench and rudely chase away from the vicinity. Else Nandutu deserve it because, she was also full of kajanjja especially after gaining her notoriety from acting out as the NTV Speaker of the People’s Parliament. Who knows, if her fall from grace was not set up by the undoing from the intolerant and rabid current Speaker of Parliament; who e.g. tried to deface and humiliate Hon Norbert Mao at the Opening Session of the ongoing NRM Retreat in Kyankwanzi? Otherwise, wasn’t Hon Anita Among and others above, equally culpable over the Karamoja Iron shit? And like a Super Star, a too soon as a first timer MP, who was immediately appointed Minister of State for Karamoja; how can’t we also rule out Nuggu for her becoming an undeserving social climber? Well, Nandutu presented the exhibit to law -enforcement by returning the iron sheets. Let her serve her sentence since she was the custodian of the poor karamojongs’ iron sheets. Your email address will not be published. Required fields are marked * Comment * Name * Email * Website Save my name, email, and website in this browser for the next time I comment. Δ Sign up and get daily updates right to your inbox. Link Copy link"
The Observer,https://observer.ug/news/mubende-goats-introduced-in-zombo/,Mubende goats introduced in Zombo,2026-04-09,"The Observer Fifteen farmers’ groups in Zombo district have received improved male Mubende goats to support crossbreeding and enhance livestock productivity. The goats were delivered by officials from the National Agricultural Research Organisation (NARO), who also supplied Super Napier grass cuttings and Mulato II (Brachiaria spp.) for establishment at a demonstration garden in Uwope Cell, Abira East Ward, Zombo town council. The team was led by John Etin, a research officer in charge of planning. Under the initiative, NARO trained the initial 15 beneficiaries under the Zombo Town Council Goat Farmers’ Group to pilot the project. Etin said similar interventions are being implemented in Nebbi, Pakwach, Madi-Okollo and Yumbe districts. He added that NARO plans to conduct demonstrations and adaptive trials across all parishes in West Nile. He explained that the Mubende goat genotype is being promoted due to its adaptability and desirable production traits. “NARO is promoting the Mubende goat breed because it is scientifically proven to be adaptable to conditions in West Nile and has unique traits compared to other goat genotypes. This is an opportunity for a community breeding programme where NARO builds the capacity of farmers who will receive this support,” Etin said. Dr Jimmy Pithua, a Zombo district official supervising the beneficiaries’ scheme, said the district will monitor the animals and provide technical guidance to ensure successful multiplication of the breed. “As a matter of fact, we received the bucks that were pledged in December 2025. I appeal to the farmers who received them to unite,” Pithua said. Farmers in Zombo district have traditionally reared local goat breeds using indigenous knowledge, often earning low returns. Officials say the intervention is expected to improve productivity, promote commercial goat farming and increase incomes from small landholdings. Denis Onega, a farmer from Ubimo Cell in Abira West Ward, Zombo town council, urged government to increase the number of Mubende bucks so that more farmers can benefit. The appeal was echoed by Michael Cwothembo, a resident of Awanya Cell in the same ward. Zombo district production officer Dr Walter Kumakech and agricultural officer Patrick Aneniu encouraged neighbouring farmers to take advantage of the improved breed to upgrade local goats through crossbreeding. Your email address will not be published. Required fields are marked * Comment * Name * Email * Website Save my name, email, and website in this browser for the next time I comment. Δ Sign up and get daily updates right to your inbox. Link Copy link"
The Observer,https://observer.ug/business/africa-pushes-for-new-global-financial-order-as-aid-models-face-scrutiny/,Africa pushes for new global financial order as aid models face scrutiny,2026-04-10,"The Observer African policymakers, scholars, and development experts are intensifying calls for sweeping reforms to the global financial system and international aid architecture, arguing that current models are outdated, inequitable, and increasingly misaligned with the continent’s development ambitions. The discussions, reflected in key 2026 policy forums and academic panels, highlight growing dissatisfaction with institutions established under the 1944 Bretton Woods framework. Originally designed by industrialised powers, these institutions—including the International Monetary Fund (IMF) and the World Bank are now being criticised for failing to adequately serve the interests of emerging economies, particularly in Africa. Despite holding vast natural resources critical to the global energy transition and maintaining one of the fastest-growing populations in the world, African countries continue to face disproportionately high borrowing costs and limited influence in global financial decision-making. Analysts argue that this imbalance has left governments across the continent grappling with difficult choices between servicing external debt and funding essential public services such as healthcare and infrastructure. The debate has gained urgency amid shifting geopolitical dynamics and what experts describe as a gradual erosion of the post-World War II rules-based order. Increasingly, global powers are seen to be adopting transactional approaches to international engagement, a trend that is reshaping both financial cooperation and peacebuilding efforts across Africa. Nowhere is this tension more evident than in the Democratic Republic of Congo, where a fragile, dual-track peace process has raised complex questions about sovereignty and external influence. Agreements brokered under significant military and political pressure have tied security arrangements to access to mineral resources, sparking concerns about long-term national autonomy and the sustainability of such deals. Observers warn that while these arrangements may provide short-term stability, they risk entrenching dependency and undermining domestic legitimacy if not carefully managed. The situation has become emblematic of broader challenges facing African states navigating a global system where traditional safeguards are weakening. At the same time, the international aid landscape is undergoing its own transformation. Significant funding cuts and the abrupt termination of major development programmes in 2025 have exposed vulnerabilities in sectors such as health and education, prompting renewed calls to rethink the model of official development assistance. Experts are increasingly advocating for a shift from donor-recipient dynamics toward partnership-based frameworks that emphasise shared value, local ownership, and sustainability. This includes leveraging both public and private financing, as well as strengthening collaboration between international institutions and domestic actors. Another critical dimension of the ongoing discourse is the role of youth in shaping Africa’s policy future. With more than 60 per cent of the continent’s population under the age of 25, there is growing pressure to bridge the gap between youthful demographics and traditionally older political leadership structures. Policy forums are now exploring mechanisms to enhance youth participation beyond symbolic engagement, including institutional reforms, leadership training, and the use of digital platforms to amplify young voices in governance processes. As these conversations gain momentum, a central theme is emerging: Africa is no longer content to operate within systems designed without its full participation. Instead, leaders and thinkers are increasingly pushing for a reimagined global order—one that reflects current realities, prioritises fairness, and enables the continent to fully harness its economic and demographic potential. The outcome of these debates could have far-reaching implications, not only for Africa’s development trajectory but also for the future of global cooperation in an era marked by uncertainty and transformation. atiluknathan@gmail.com Your email address will not be published. Required fields are marked * Comment * Name * Email * Website Save my name, email, and website in this browser for the next time I comment. Δ Sign up and get daily updates right to your inbox. Link Copy link"
The Observer,https://observer.ug/business/euro-gold-to-refine-gold-for-bank-of-uganda/,Euro Gold to refine gold for Bank of Uganda,2026-04-09,"The Observer The Bank of Uganda (BoU) has signed a contract with Euro Gold Refinery to commence supply of refined gold under the Domestic Gold Purchase Programme, a move aimed at strengthening the country’s reserves and promoting value addition. The development follows the central bank’s decision to directly purchase gold for treasury purposes as part of efforts to diversify reserve assets and reduce reliance on foreign currencies. According to Benard Feni, director of Euro Gold Refinery, the contract was awarded following a competitive bidding process open to eligible refineries. “The central bank made an open call for bids, and Euro Gold has won the contract. We were competing with different international companies and emerged as the best bidders. We have already signed and received confirmation,” Feni said. BoU launched the Domestic Gold Purchase Programme targeting the acquisition of between seven and 10 tonnes of locally mined gold annually. The initiative is intended to strengthen foreign exchange reserves, curb gold smuggling and support artisanal and small-scale miners. As part of the rollout, the central bank plans to purchase at least 100 kilogrammes of gold between March and June 2026, valued at about $160 million (Shs 592 billion). “If all goes as planned, we should be able to purchase at least 100 kilogrammes of gold between March and June 2026,” said Adam Mugume, BoU executive director for research and economic analysis. Feni described the contract as a major milestone for the refinery and a boost for local participation in the gold value chain. “We are very happy. This is a big milestone for us as a local company to be selected to refine gold for the central bank. It demonstrates that Ugandans can compete and deliver at both national and international levels,” he said. He added that the refinery aims to position Uganda as a regional gold hub. “By 2030, we want Uganda to be known as a gold hub, not just exporting raw materials, but producing high-quality, 24-karat bullion for the global market,” Feni said. Uganda exported gold worth $5.8 billion (Shs 21.1 trillion) last year, although the sector remains largely dominated by artisanal and small-scale miners. To strengthen the value chain, Euro Gold Refinery has partnered with local mining communities. Feni said the company has signed a memorandum of understanding with Mubende miners, benefiting more than 3,000 artisanal miners by enabling them to upgrade gold to internationally acceptable standards. The refinery has also supported Kakoka artisanal miners in Abim to obtain a mining licence and signed agreements to supply gold. The company recently secured a mining licence in Yumbe district and is expanding to other mining areas, including Kaabong. Feni said the refinery’s operations have created employment opportunities, with more than 70 per cent of its workforce comprising Ugandans trained to meet international standards. “We are helping miners move from raw gold to refined products so they can fetch better prices on the international market,” he said. Under the arrangement with the central bank, gold will be sourced from artisanal miners, small-scale miners and licensed dealers across the country. “We shall receive, process, refine and certify the gold in line with international standards. This contract is a sign of trust in our ability to deliver quality,” Feni said. Euro Gold Refinery (U) SMC Ltd, Uganda’s first fully locally owned gold refinery, was launched in Kampala in July 2025 by the minister of Energy and Mineral Development, Ruth Nankabirwa. Your email address will not be published. Required fields are marked * Comment * Name * Email * Website Save my name, email, and website in this browser for the next time I comment. Δ Sign up and get daily updates right to your inbox. Link Copy link"
The Observer,https://observer.ug/business/musicians-should-think-beyond-miming-at-kwanjula-and-weddings/,Musicians should think beyond miming at kwanjula and weddings,2026-04-01,"The Observer Musicians in Uganda have been in celebratory mood after parliament passed the Copyright and Neighbouring Rights (Amendment) Bill, 2025. They argue that once the bill is assented to by the president as expected, they will earn lots more money than they are doing today. That they will be rewarded for their efforts. Ugandan music has come a long way. In the 1990s, very few Ugandans considered music as their professional career. There were professional music groups that still exist such as Afrigo band and some other bands/musicians, but many didn’t earn that much. If the amended bill is to make them earn more, that is even better. The bill seems to be very important to Uganda’s music industry as there seem to be a resurgence of the foreign content like it was in the 1990s. Congolese musicians ruled the airwaves and the stages at Gaba beach, Nakivubo stadium and the beaches of Entebbe. Singers like Jose Chameleone, Bebe Cool and Bobi Wine broke that dominance and Ugandan musicians started filling stadiums on their own. Congolese musicians stopped owning the concert stages in Kampala. The kingdom of Buganda had in 1996 launched the popular CBS radio which further played local music on the airwaves and organised Ekitobeero music festivals, which provided the platform for Ugandan music to thrive. Music entrepreneurs like Hope Mukasa at his Sabrina’s pub provided another platform, karaoke, that saw many wannabe musicians practice their craft. Sabrina’s would lead to the emergence of the famous I-Jay duo of Iryn Namubiru and Juliana Kanyomozi. Ugandan music was on cloud nine. Musicians stopped singing for beer and now were being paid professional fees. Kasiwukira and company would buy the records, make cassettes and sell. Telecoms, looking for ways to reach the masses, signed up musicians. Nightclubs held musicians like the celebrities they were becoming. Video mixing became the norm in nightclubs and every little bar. You could actually spend a whole night in a bar with only Ugandan music being played. Many young people dreamed of becoming musicians. A number of them lived the dream. Today, the industry is pivoting a bit. Foreign shows are back in Uganda, including of Congolese like Ya Levis and Fally Ipupa. Kofi Olomidde turns up once in a while, including at a recent Afrigo 50th anniversary. Nigerian music is dominating the airwaves. There is perhaps no bar or nightclub today that only plays Ugandan music for the entire night. The changes in the industry may perhaps explain the gusto with which some of the most known Ugandan musicians invested in the amended copyright bill. They see it as a saviour even though royalties have been collected on their behalf by organisations like the Uganda Performing Right Society (UPRS) for years. As the musicians were celebrating the passing of the amended bill in parliament, their counterparts in Nigeria were being ranked as the top earners in Africa on music streaming platform Spotify. It was revealed that Nigerian musicians earned more than $43m in 2025 from Spotify by pulling in a combined 30.3 billion streams, which is about 1.6 billion hours of listening time. Nigerian music has been globally embraced, featuring in more than 320 million user-generated playlists, according to reports. Barack Obama, the former US president, releases his annual playlist around December every year. For years now, a Nigerian musician appears on his list, which he posts on his X account of nearly 120 million followers. The Nigerians are developing music that cuts across borders and appeals to worldwide audiences. You have seen them perform at even the World Cup and being regularly nominated for Grammys among other international awards. In Uganda, some of the leading musicians, instead of thinking global, concentrate on Gulu city, where they book rooms for weeks doing whatever they can to meet Gen Salim Saleh. He has publicly rebuked them before to their embarrassment. But do they listen? They see politics as the only means to earn. Those who become famous because of their ability to dance and sing forget about what made them famous once they make it. They appear at shows to mime, walk about the stage while spending some considerable time talking about their imaginary haters or reminding others how beautiful they are. The audience in Uganda is small and the economy is even smaller, yet music transcends borders. Ugandan musicians should, therefore, think beyond miming at kwanjula and weddings and create music that has a global appeal so that they can earn from a global audience. Cozying up to politicians will not sustainably make them earn better, even when copyright bill is assented to. djjuuko@gmail.com The writer is a communication and visibility consultant. 1 Comment Agreed Your email address will not be published. Required fields are marked * Comment * Name * Email * Website Save my name, email, and website in this browser for the next time I comment. Δ Sign up and get daily updates right to your inbox. Link Copy link"
The Observer,https://observer.ug/business/totalenergies-revamps-lpg-filling-plant-in-jinja/,TotalEnergies revamps LPG filling plant in Jinja,2026-03-31,"The Observer TotalEnergies has commissioned a revamped Liquefied Petroleum Gas (LPG) filling and storage plant in Jinja, aimed at boosting supply of clean cooking energy in Uganda. The facility, originally constructed in 2016 and scheduled to begin operations in 2017, reached full operational completion in December 2025 following refurbishment. The upgraded plant is equipped with automated filling technology and enhanced safety systems designed to ensure accurate cylinder filling, prevent leakage and provide tamper-proof sealing. The facility sits on approximately five acres, part of which is currently used for production, with additional space reserved for future expansion. It has a storage capacity of up to 140 tonnes of marketable gas before cylinder filling and can produce more than 40 tonnes per day, up from about 30 tonnes previously. Daily cylinder output ranges between 40 and 50 tonnes depending on demand, with additional capacity available for other product lines. Olufemi Babajide, managing director of TotalEnergies Marketing Uganda Limited, said the investment reflects the company’s long-term commitment to supporting Uganda’s energy transition and expanding access to cleaner cooking solutions. “This refurbished plant reaffirms our commitment to deliver quality, reliable and clean energy to Ugandans, especially as the country prepares for local production of LPG in the oil region,” Babajide said. Biova Agbokou, executive vice president for TotalEnergies East and Central Africa, said the expanded facility supports the company’s ambition to provide 100 million people in Africa and India with access to clean cooking by 2030. He noted that wider adoption of LPG could reduce reliance on charcoal and firewood, cut carbon emissions and lower health risks associated with indoor air pollution. Ben Kagonyera, manager for business development at the Uganda National Oil Company (UNOC), said the commissioning marks an important step in strengthening Uganda’s clean energy supply. “This investment is timely and complements efforts to promote clean cooking solutions and sustainable energy use,” Kagonyera said. He added that UNOC’s partnership with TotalEnergies in the upstream sector could support future domestic LPG supply once oil production begins. “With the commencement of oil production, gas will also be produced. This presents an opportunity for Uganda to supply locally produced gas to its citizens and improve access to LPG,” he said. Kagonyera explained that LPG production will be linked to oil output, with excess gas expected to come on stream once oil production starts. TotalEnergies Marketing Uganda Limited has operated in Uganda since 1955 and currently runs more than 200 service stations across the country. Your email address will not be published. Required fields are marked * Comment * Name * Email * Website Save my name, email, and website in this browser for the next time I comment. Δ Sign up and get daily updates right to your inbox. Link Copy link"
The Observer,https://observer.ug/business/uganda-has-enough-fuel-stock-until-may-govt/,Uganda has enough fuel stock until May – govt,2026-03-31,"The Observer The government has assured the public that Uganda has sufficient fuel reserves to last until late May, dismissing social media claims of an impending shortage. The reassurance comes amid rising pump prices, with some fuel stations now selling petrol at over Shs 5,800 per litre and diesel at about Shs 5,300, up from around Shs 5,200 and Shs 4,900 respectively. In a joint statement issued on Tuesday, the ministry of Energy and Mineral Development and the Uganda National Oil Company (UNOC) described reports of a looming shortage as misleading, warning that such speculation could trigger panic buying and artificial price increases. Energy minister Ruth Nankabirwa Ssentamu said that as of March 27, Uganda had 81 million litres of petrol, 80 million litres of diesel and 18.5 million litres of Jet A-1 fuel in stock. She said the reserves translate into between 22 and 30 days of national consumption. “These levels are in full compliance with the Petroleum Supply Act, 2024, which requires UNOC to maintain a minimum of 21 days of strategic reserves to cushion the country against supply shocks,” Nankabirwa said. The ministry added that incoming shipments scheduled for April will boost national stocks, with more than 350 million litres of petroleum products expected to arrive through Kenya’s coastal infrastructure. Officials also said additional consignments are being rerouted through Tanzanian ports, including Dar es Salaam, Tanga and Mtwara, to mitigate risks associated with disruptions along key maritime routes. The reassurance comes against the backdrop of global uncertainty, including attacks on vessels navigating major shipping routes, which have unsettled oil markets and heightened concerns about supply disruptions. Authorities, however, cautioned that while supply remains stable, prices may continue to rise due to global market volatility and exchange rate pressures. Uganda relies heavily on imported refined fuel, making domestic prices sensitive to international crude oil trends and movements in the Uganda shilling. Transport operators welcomed the assurance on supply but raised concerns about affordability. “Availability is one side of the story; affordability is another,” said Fred Okema of the Uganda Bus Drivers Association, noting that sustained price increases could erode already thin profit margins in the transport sector. He called for stricter enforcement of pump price regulations to enhance transparency. The aviation sector also expressed cautious optimism, noting that current Jet A-1 reserves provide a temporary buffer for flight operations despite unpredictable global fuel costs. UNOC chief corporate affairs officer Tony Otoa said fuel accounts for about 70 per cent of Uganda’s commercial energy consumption, warning that even modest price changes can have ripple effects across transport, manufacturing and household budgets. Your email address will not be published. Required fields are marked * Comment * Name * Email * Website Save my name, email, and website in this browser for the next time I comment. Δ Sign up and get daily updates right to your inbox. Link Copy link"
