source,url,title,publication_date,text
The Observer,https://observer.ug/news/police-recover-gun-used-in-soroti-mobile-money-agent-murder/,Police recover gun used in Soroti mobile money agent murder,2026-04-12,"The Observer East Kyoga regional police have recovered an AK-47 rifle believed to have been used in the murder of Patricia Kokunda, a mobile money agent who was killed in Soroti last week. Kokunda was shot dead on April 3, 2026, at approximately 4:40 a.m. while boarding a commuter taxi at Teso Coach Park along Station road in Soroti city. She was travelling to Ocorimogin cattle market in Katakwi district, where she operated a weekly mobile money business. According to police, armed assailants attacked her at the park, robbing her of cash before fatally shooting her. In a statement, police confirmed the arrest of five suspects in connection with the crime: Alex Okello, Felix Onego, Simon Epeu, also known as Iboda, Elacu Alfred, believed to be the gunman, and another suspect who was found in possession of the recovered firearm in Karamoja. Authorities have withheld the identity of the latter as investigations continue. Security operations that followed the killing led to the arrest of Epeu in Anyara, where officers recovered Shs 7 million suspected to be part of the stolen money. Kokunda’s smartphone was later discovered abandoned in a bush in Kichinjani Ward, Soroti City. East Kyoga regional police commander Ibrahim Saiga confirmed the recovery of the weapon, noting that investigations are ongoing to establish how it came into the suspects’ possession. “We have recovered the suspected murder weapon and are continuing with inquiries into its origin,” Saiga said. He added that all five suspects remain in custody and are providing information critical to the investigation. “We have intensified operations in this case and will ensure that everyone involved in the aggravated robbery and murder is brought to justice,” he said. Footage of the shooting of the mobile money agent in Soroti City. pic.twitter.com/VanqvJlYmq Your email address will not be published. Required fields are marked * Comment * Name * Email * Website Save my name, email, and website in this browser for the next time I comment. Δ Sign up and get daily updates right to your inbox. Link Copy link"
The Observer,https://observer.ug/news/police-bans-bobi-wine-slogans-from-kabakas-birthday-run/,Police bans ‘Bobi Wine’ slogans from Kabaka’s Birthday Run,2026-04-12,"The Observer Security agencies have banned political messages on kits for this year’s Kabaka’s Birthday Run in Kampala, which marks the Kabaka’s 71st birthday today, Sunday. At a joint security briefing at Buganda Kingdom headquarters in Bulange, Mengo, Capt Christopher Lutwaama, head of security for the kingdom, said tight measures had been put in place to deter potential threats. Lutwaama said covert operatives will be deployed to run alongside participants across all categories to detect any suspicious activity, in addition to security personnel stationed along all routes. He warned that runners wearing kits with political messages, party symbols or slogans will be denied entry. “The password is the 2026 Kabaka Birthday Run kit. Don’t write anything on it. Wear it as you bought it – no names, no political party symbols. You will be turned away if you do. Also, no knives, sharp objects or anything that raises security concerns,” Lutwaama said. The directive follows incidents during the 2025 run where some participants were seen singing opposition National Unity Platform (NUP) songs, drawing criticism that the event was being politicised, despite its health-focused objectives. Kampala Metropolitan deputy police spokesperson Luke Owoyesigyire said security will be jointly deployed on all roads leading to Lubiri, the main venue, and along the running routes. He added that only participants wearing new, unaltered kits will be allowed access. “Our counter-terrorism and UPDF teams, both uniformed and plain-clothes, will ensure participant safety. Security will strictly follow the guidelines, and participants are urged to comply for a smooth run,” Owoyesigyire said. Kampala Metropolitan traffic police commander ASP Godwin Arinaitwe announced traffic diversions to facilitate the event. Traffic from Ndeeba junction will be redirected from Ring Road to Zing Zing road for vehicles heading towards Masaka Road. Motorists from Clock Tower, except those with authorised stickers, will be diverted at the Mengo Ring Road junction onto Zing Zing Road. Another diversion will be effected at Nabunya crossroads, redirecting traffic via Kabusu–Memorial Road to Rubaga Road. No vehicles or participants will be allowed to access Nabunya crossroads towards Kabakanjagala roundabout, while the stretch at the Lubiri main gate will be reserved strictly for runners. Arinaitwe cautioned motorists against roadside parking, warning that vehicles will be towed to the nearest police station. Designated parking areas will include Nnabagereka Primary School, Lubiri parking for invited guests, and Lubiri Secondary School. Buganda Kingdom spokesperson Israel Kazibwe Kitooke urged participants to avoid violence and hooliganism to ensure a peaceful event. The 13th Kabaka’s Birthday Run will take place at Lubiri, Mengo, under the theme “Men’s role in promoting good health to save the girl child and end HIV by 2030,” with an estimated 120,000 participants expected. 1 Comment One cannot see anything wrong with the name of ‘Bobi Wine’ being used after a successful national election that has been won by the so called long serving popular NRM political party. Actually the password should be: “Kabaka birthday run with a successful NRM government. Work hard to retain the gains.” The efforts of the Mengo establishment to try and raise money and improve on the dilapidated health care and the hospitals in this poor African country is the real clear political message that after 45 years of the governance of NRM, health care standards have gone downward? Despite such efforts to raise funds from the public to improve the conditions of these hospitals the government of Uganda is spending trillion of shillings to stay put in state power. It will therefore not help in anyway economically for this fund raising run to go ahead when the money collected will not reach the urgent medical treatment of the patients that badly need such economic assistance! It is high time the Mengo establishment confessed that it has run out of money to administer effectively a modern administration of the Kingdom state of Buganda. Your email address will not be published. Required fields are marked * Comment * Name * Email * Website Save my name, email, and website in this browser for the next time I comment. Δ Sign up and get daily updates right to your inbox. Link Copy link"
The Observer,https://observer.ug/news/court-jails-ex-minister-nandutu-for-four-years-over-iron-sheets-theft/,Court jails ex-minister Nandutu for four years over iron sheets theft,2026-04-12,"The Observer The Anti-Corruption court has sentenced Agnes Nandutu, former state minister for Karamoja Affairs and outgoing Bududa Woman MP, to four years in prison. The sentence, delivered by justice Jane Okuo Kajuga, marks a significant development in government efforts to crack down on the diversion of relief materials meant for vulnerable communities in the Karamoja sub-region. In addition to the custodial sentence, the court barred Nandutu from holding public office for 10 years, effectively halting her political career. In her ruling, Justice Kajuga emphasised that Nandutu held positions of “impeccable trust” in both the executive and the legislature, and that her actions amounted to a betrayal of that trust. The case centred on 2,000 iron sheets, part of a larger consignment intended to support reformed Karachuna and elderly persons in Karamoja. The court noted that out of 10,000 iron sheets under the programme, only 1,000 reached the intended beneficiaries. “These are offices held in trust for the good of the people and the country,” Kajuga said. “The project was aimed at supporting disarmament and restoring peace.” The court applied the Constitution (Sentencing Guidelines) Practice Directions of 2013, weighing aggravating and mitigating factors. Among the aggravating factors, the court found that Nandutu used her position for personal gain and that the offence involved essential goods meant for a vulnerable community. It also held that, as a minister, she had a duty of the highest order to ensure proper implementation of public policy. Kajuga ruled that these factors outweighed the mitigation presented by the defence, which had urged leniency on grounds that Nandutu is a first-time offender, a single mother of seven and the sole breadwinner for her ailing 80-year-old mother. The court also considered her public apology to the President, the people of Karamoja and the country, as well as her return of the iron sheets and payment for those that were missing. However, while acknowledging her health condition and family responsibilities, the judge noted that the defence had not provided updated medical evidence to prove she was unfit for imprisonment. Kajuga also declined to impose a fine in lieu of a custodial sentence. Under Section 21(1) of the Anti-Corruption Act, the maximum fine is 160 currency points, equivalent to Shs 3.2 million. She described the amount as “paltry” and “inadequate” for an offence of such magnitude. “The sentence must be proportionate to the crime committed. A fine of Shs 3.2 million is too low and does not reflect the seriousness of the offence,” Kajuga said, adding that the legislature may need to review the prescribed penalties. Your email address will not be published. Required fields are marked * Comment * Name * Email * Website Save my name, email, and website in this browser for the next time I comment. Δ Sign up and get daily updates right to your inbox. Link Copy link"
The Observer,https://observer.ug/news/food-prices-rise-in-nebbi-after-vendor-evictions/,Food prices rise in Nebbi after vendor evictions,2026-04-10,"The Observer Food prices in Nebbi town have risen following the eviction of street vendors by municipal authorities. The vendors had been operating in kiosks and makeshift structures within the town. The move has left many vendors struggling to make ends meet, while consumers, particularly low-income earners, say they are feeling the impact as affordable food options disappear. Some vendors have reportedly turned to farming after being pushed out of town following the enforcement of the trade order. Residents say the eviction has affected food accessibility and affordability, forcing many to move longer distances in search of cheaper meals. Jeremy Akenda, a resident of Nebbi town, said accessing affordable food has become difficult since the eviction. “The established places where we used to eat local food at Shs 3,000 have raised the price to Shs 5,000, and it is likely to go higher because the local eating joints are no longer in town,” Akenda said. Alice Giramiah, a food vendor along Arua Road in Nebbi municipality, said the eviction of kiosks in the town business centre has affected her business, noting that most of her customers were kiosk operators. She added that despite rising prices elsewhere, she has not increased her charges due to reduced customer turnout. “Before the eviction, I used to sell 5kg of meat daily, but after the eviction, I hardly sell 2kg because most of my customers are no longer available. Paying rent may become a problem in the coming months if things do not change,” Giramiah said. She noted that the impact of the evictions has been widespread, with some vendors reporting losses while others are still struggling to adapt to new trading spaces. Another vendor, Evelyn Acen, said prices have increased significantly since the eviction. She explained that before the enforcement, a plate of meat or fish cost Shs 5,000 while beans or greens went for Shs 2,000. These have since risen to Shs 7,000 and Shs 3,000 respectively. Although authorities say the eviction is part of efforts to restore order and improve sanitation, vendors argue they play a vital role in providing affordable meals and are appealing for alternative spaces to operate. The eviction of kiosks and makeshift structures in the central business district is intended to pave way for infrastructure development, including the installation of streetlights, walkways and drainage systems along the 33-kilometre Alwi–Nebbi town road currently under construction by China Railway 18 Bureau Group. Your email address will not be published. Required fields are marked * Comment * Name * Email * Website Save my name, email, and website in this browser for the next time I comment. Δ Sign up and get daily updates right to your inbox. Link Copy link"
The Observer,https://observer.ug/news/nandutu-apologises-to-museveni-over-iron-sheets-theft-pleads-for-non-custodial-sentence/,"Nandutu apologises to Museveni over iron sheet theft, pleads for non-custodial sentence",2026-04-10,"The Observer Former state minister for Karamoja Affairs Agnes Nandutu has pleaded with the Anti-Corruption court for a non-custodial sentence, citing failing health and her responsibilities as a single mother. The court had scheduled to deliver its final verdict at 3:00 pm today following her conviction for diversion of iron sheets intended for vulnerable communities in Karamoja. The prosecution team of state attorneys pushed for a deterrent sentence, arguing that Nandutu’s actions constituted a clear abuse of office and breach of public trust. Senior state attorney Innocent Aleto asked the court to impose a custodial sentence of five years’ imprisonment, disqualification from holding public office for 10 years, and a fine of Shs 3.2 million, equivalent to the maximum 160 currency points prescribed in law. The state argued that although Nandutu is a first-time offender, the “premeditated and sophisticated” nature of the offence — including moving the iron sheets to a private farm for nine months — negated any claim of mistake. “This was not an impulsive act, but a carefully orchestrated course of conduct designed to evade scrutiny,” the prosecution submitted. Taking the stand before the afternoon recess, an emotional Nandutu apologised to the President, the people of Karamoja and the country. “I am apologetic. Whatever happened, I’m sorry. I was misled,” Nandutu told court. “I willingly returned the iron sheets after finding out they were intended for Karamoja, and I paid for those that were missing in cash.” Nandutu’s defence centred on her personal and medical challenges. She told court she suffers from blood clots in her lungs, a condition she said causes her to collapse unexpectedly. She also described herself as the sole breadwinner for her seven children and an 80-year-old mother battling cancer. “I am the only child remaining now. My father died during the stress of this case,” she said, asking the court for a non-custodial sentence to enable her continue supporting her family. While the prosecution sought a restitution order, the defence argued that Nandutu had already compensated government for any deficit. Counsel submitted that even the iron sheets allegedly lost in transit while under police custody were paid for by the convict, as reflected in defence exhibits. They argued that since government had been made whole through recoveries and compensation, a prison sentence would be unnecessarily punitive. Justice Jane Okuo Kajuga said she would deliver her ruling after analysing submissions from the prosecution, defence and the convict. 2 Comments In order to save the faces of the big shots: VP Alupo; the Prime Minister, Robina Nabanja; Min State Finance, Lugolobi and Minister of Finance, Hon Matiya (Mateo) Byabasaija; etc., who were equally found pants down with the Kajong Iron shits in their compound, they had to throw a few Iron shits in the direction of naïve and unsuspecting Nandutu and nail her. In other words, now Dishonourable Nandutu was literally sacrificed on the Alter of Corruption (a perfect scapegoat). And her apology to our PROBLEM OF AFRICA is inconsequential her future has been irreversibly ruined. In any case, in the African PR, a child who likes sitting near elders is blamed for any elder’s loose fart stench and rudely chase away from the vicinity. Else Nandutu deserve it because, she was also full of kajanjja especially after gaining her notoriety from acting out as the NTV Speaker of the People’s Parliament. Who knows, if her fall from grace was not set up by the undoing from the intolerant and rabid current Speaker of Parliament; who e.g. tried to deface and humiliate Hon Norbert Mao at the Opening Session of the ongoing NRM Retreat in Kyankwanzi? Otherwise, wasn’t Hon Anita Among and others above, equally culpable over the Karamoja Iron shit? And like a Super Star, a too soon as a first timer MP, who was immediately appointed Minister of State for Karamoja; how can’t we also rule out Nuggu for her becoming an undeserving social climber? Well, Nandutu presented the exhibit to law -enforcement by returning the iron sheets. Let her serve her sentence since she was the custodian of the poor karamojongs’ iron sheets. Your email address will not be published. Required fields are marked * Comment * Name * Email * Website Save my name, email, and website in this browser for the next time I comment. Δ Sign up and get daily updates right to your inbox. Link Copy link"
The Observer,https://observer.ug/news/court-denies-mufumbiro-temporary-bail-to-attend-wifes-burial/,Court denies Mufumbiro temporary bail to attend wife’s burial,2026-04-10,"The Observer Kawempe Chief Magistrate’s court has declined to grant temporary bail to opposition National Unity Platform (NUP) deputy spokesperson Alex Waiswa Mufumbiro to attend the burial of his wife, Edith Katende Mufumbiro. Mufumbiro, who is currently on remand, faces charges of allegedly inciting NUP youth to attack security personnel and participating in unlawful military-style drills, offences the prosecution says threaten public order and national security. His wife passed away on Wednesday after a long battle with breast cancer. Through his legal team, Mufumbiro had petitioned the court for a brief release to enable him to attend her burial scheduled for Saturday in Luuka district. However, in a ruling delivered Friday via a virtual court session, Chief Magistrate Doreen Ainembabazi dismissed the application, citing public interest concerns and the gravity of the charges, according to his lawyer Kato Tumusiime. The court also found his sureties insufficient. These included Mufumbiro’s father, Moses Baligeya, a retired magistrate, and Nakawa East MP and Kampala lord mayor-elect Ronald Balimwezo Nsubuga. In her ruling, Ainembabazi emphasised that the offences carry a maximum sentence of up to 10 years’ imprisonment upon conviction. She further noted that the seriousness of the charges increased the likelihood of the accused absconding if temporarily released. Tension flared shortly after the ruling when defence lawyers staged a walkout in protest. The lawyers declined to participate in subsequent proceedings before grade one magistrate Damalie Agumaasiimwe, who was scheduled to deliver a separate bail ruling involving 14 other NUP supporters facing similar charges. According to Tumusiime, the protest was triggered by authorities’ failure to produce the accused physically in court, raising concerns about their right to a fair hearing and adequate legal representation. NUP’s deputy spokes person Alex Waiswa Mufumbiro will not burry his late wife Wife Edith Katende Mufumbiro after court denied him bail this afternoon @observerug pic.twitter.com/aD5TI8q4ES 2 Comments Any of you who doubted that Uganda is under the yoke of heartless Zombies , here is to you ! Ainembabazi ( the kind one ) Agumasiimwe ( May He be always be praised) must be having the time of their blessed lives .They have the POWER and are going to use it as they chose . First , they said that Edith was not sick; that she was playing Katemba (NUP stunts) , these night-dancers from outer space ruled that Edith`s Cancer papers were forgeries made at Nassar Road. Were they….?! Edith had cancer , it killed her and she is surely in her coffin . Still, they say they are not sure its Edith who died or she may not even be Waiswa`s wife !!!!!! Zombie power on display . The other day , a man was arrested and charged for an offence of imagining that the First Lady had left us . What a crime ! Isn`t it unthinkable that some people will ever die ” Abafu baziike bannabwe..! Those of us who die will be there when Edith will be placed in her grave while her husband is denied the one and last chance to touch her lifeless body. We sing ” Its well with my soul ” and then ask WHERE THE HELL ARE YOU GOD ??? This reflect the STATE OF UGANDA as a nation. We are at a point of no return. A day will come when you will see true color of Ugandans who have nothing to lose. Right now Ugandans are enduring their pains indoors, wait when it pours out on the streets. It will be unstoppable! All these memories will light up the lid of injustice and oppression. Your email address will not be published. Required fields are marked * Comment * Name * Email * Website Save my name, email, and website in this browser for the next time I comment. Δ Sign up and get daily updates right to your inbox. Link Copy link"
The Observer,https://observer.ug/news/rutete-health-centre-on-spot-over-death-of-woman-unborn-baby/,"Rutete health centre on spot over death of woman, unborn baby",2026-04-10,"The Observer The family of 38-year-old Diana Kogere is demanding an independent investigation to establish the exact cause of her death and that of her unborn baby. Kogere, a resident of Kiko Town Council in Kabarole district, western Uganda, died on March 28 at Rutete health centre IV. Her family alleges medical negligence. According to Kogere’s mother, Topista Katusabe, Kogere was taken to the health centre at around 8:00 am after labour pains began. She was admitted and examined by a midwife, who reportedly found her three centimetres dilated, with both mother and baby in stable condition. Katusabe said they were advised to let her walk around and take warm water to support the progression of labour. At about 11:00 am, Kogere was re-examined and the family was again told that labour was progressing normally. However, by 4:00 pm, she remained in labour without significant progress. At around 6:00 pm, Kogere reportedly became extremely weak and requested to be reviewed by a doctor or referred to a higher facility. Judith Kinkuhire, who had accompanied her, said a midwife contacted a doctor identified as Dr Sam at around 7:59 pm. According to Kinkuhire, the doctor indicated he was in Fort Portal town, about 15 minutes away, and would arrive shortly. However, he reportedly arrived nearly three hours later, at about 10:45 pm, and ordered that Kogere be taken to theatre. About 20 minutes after she was wheeled in, the doctor returned and informed the family that she had died during the procedure. The baby also did not survive. The family says they were not given a clear explanation of the complications that necessitated surgery or the exact cause of death. Kinkuhire further alleges that the doctor appeared intoxicated when communicating the death and declined to issue a death certificate, saying the case would only be recorded in hospital records. Kogere’s sister, Janet Kangume, said district authorities later convened a harmonisation meeting involving health officials, the facility in charge, the doctor in question and family members. She said officials presented a report describing Kogere as a high-risk mother and alleging that she had previously sought services from a traditional birth attendant — claims the family strongly rejects. The meeting ended without consensus after the family disputed the findings. Katusabe is now calling for an independent investigation, warning that the family will pursue legal action if justice is not served. Kabarole district chairperson Richard Rwabuhinga said the district health department had conducted an audit and submitted its findings to the ministry of Health, which will issue a comprehensive report after review. Kogere is survived by five children, the eldest currently in Senior Two. Globally, an estimated 260,000 women die each year from pregnancy-related causes, according to the World Health Organisation, underscoring persistent gaps in maternal healthcare. Your email address will not be published. Required fields are marked * Comment * Name * Email * Website Save my name, email, and website in this browser for the next time I comment. Δ Sign up and get daily updates right to your inbox. Link Copy link"
The Observer,https://observer.ug/news/court-faults-customer-clears-absa-in-shs-8m-fraud-case/,"Court faults customer, clears Absa bank in Shs 8m fraud case",2026-04-10,"The Observer The High court has absolved Barclays Bank Uganda, now Absa Bank Uganda, of liability for the loss of Shs 8.5 million withdrawn from a customer’s account without her authorisation, faulting the account holder for negligence. The ruling followed an appeal filed by the bank against an earlier decision by a grade one magistrate, which had held it liable and ordered a refund. However, justice Stephen Mubiru overturned the decision, finding that the customer, Eron Kabachwamba, acted negligently and exposed her card to fraud. The judge ruled that Kabachwamba failed in her duty to safeguard her Visa card and personal identification number (PIN), as required under the terms of her banking agreement. He held that the trial magistrate improperly evaluated the evidence and wrongly attributed liability to the bank. Court records show that on January 19, 2013, Kabachwamba deposited Shs 385,000 and Shs 655,000 into her account. She was later alerted to a withdrawal of Shs 8,538,356 that had been made a day earlier, on January 18, in Nairobi, Kenya, although it had not yet reflected on her account at the time. Kabachwamba immediately reported the transaction to the bank, stating that she had not authorised it. Despite her complaint, the money was debited from her account on January 22, 2013. Following internal investigations, the bank declined to refund the money, concluding that Kabachwamba had compromised the security of her card during an earlier transaction at Emin Pasha Hotel in Kampala, enabling fraudsters to access and later use her card details in Nairobi. The bank also said the suspicious transactions in Nairobi had been flagged by its electronic monitoring system. However, attempts to reach Kabachwamba using the contact details on file were unsuccessful because her phone was switched off. Investigations further showed that on December 28, 2012, Kabachwamba used her debit card at a point-of-sale machine at Emin Pasha Hotel. During the transaction, she handed her card to a hotel attendant who cited a technical problem and briefly kept it out of her sight. Justice Mubiru found it most likely that the card was cloned during that incident. He noted that Kabachwamba retained physical possession of the original card throughout, ruling out theft and pointing to card skimming as the cause of the fraud. The judge also found her explanation inconsistent and evasive, particularly regarding whether she allowed unsupervised access to her card, which he said suggested awareness of her own negligence. He further held that the bank’s fraud detection system functioned as expected by flagging the unusual transactions, and that claims the bank failed to provide a secure system were not supported by evidence. Justice Mubiru set aside the earlier judgment, absolved the bank of liability, and ordered Kabachwamba to pay the costs of the case. 1 Comment This may scare people away from using their cards for easy payment at pos. are we really ready to embrace technology or it will push us back to the analogue days since the risk is lighter Your email address will not be published. Required fields are marked * Comment * Name * Email * Website Save my name, email, and website in this browser for the next time I comment. Δ Sign up and get daily updates right to your inbox. Link Copy link"
The Observer,https://observer.ug/news/police-dismantle-suspected-robbery-gang-in-makindye/,Police dismantle suspected robbery gang in Makindye,2026-04-10,"The Observer The Crime Intelligence Directorate has dismantled a gang of suspected panga-wielding thugs believed to be behind a string of robberies in Makindye Division, Kampala. Kampala Metropolitan deputy police spokesperson Luke Owoyesigyire said three suspects including Olwo alias Tom, Latif Bogere alias Musoga and Ivan Turyahirwa alias Musiramu have recorded statements at Katwe police as investigations continue. The arrests followed an intelligence-led operation in which officers tracked the group’s suspected ringleader, Olwo, for several days. He was eventually apprehended on Mubaraka Road in Makindye while riding a motorcycle, registration number UMA 979 HA. Police said Olwo initially withheld information about his accomplices during interrogation, but later cooperated after investigators confronted him with CCTV footage linking him to a failed street robbery in Kampala. According to investigators, the group targeted motorists by trailing them from banks and mobile money outlets before striking in traffic or ambushing boda boda riders and their passengers in isolated areas. Their operations were concentrated in Makindye, Kizungu (Salaama), Bunga and Katwe. Acting on intelligence obtained from Olwo, police conducted follow-up operations on Wednesday night in Kapeeke Zone and Kibuye, leading to the arrest of nine additional suspects. Owoyesigyire said the suspects have confessed to several robberies, including the theft of Shs 350,000 from a motor vehicle in Kizungu and multiple attacks along Salaama road. Investigations indicate the group had been operating for some time, primarily targeting cash and electronic devices, and using motorcycles — some suspected to be stolen — to facilitate quick escape. The arrests come amid heightened concern over violent robberies in Kampala, including a recent daytime attack in which armed assailants riding about 10 motorcycles ambushed a Centenary bank client near Nkrumah road. The attackers, wielding machetes, seized one of two bags believed to contain large sums of cash before fleeing. Police data shows that Katwe Division, which covers Makindye, remains among the areas most affected by robbery. The 2025 police crime report ranks Kawempe Division highest with 289 cases, followed by Katwe (222), Jinja road (212), Kira (188) and Kabalagala (183). Nationally, Uganda recorded 7,863 robbery cases in 2025, representing a 3.7 per cent decline from 8,163 cases reported in 2024. The figures had risen steadily from 6,854 cases in 2022 to 7,768 in 2023, peaking in 2024 before the slight drop in 2025. Your email address will not be published. Required fields are marked * Comment * Name * Email * Website Save my name, email, and website in this browser for the next time I comment. Δ Sign up and get daily updates right to your inbox. Link Copy link"
The Observer,https://observer.ug/news/mubende-goats-introduced-in-zombo/,Mubende goats introduced in Zombo,2026-04-09,"The Observer Fifteen farmers’ groups in Zombo district have received improved male Mubende goats to support crossbreeding and enhance livestock productivity. The goats were delivered by officials from the National Agricultural Research Organisation (NARO), who also supplied Super Napier grass cuttings and Mulato II (Brachiaria spp.) for establishment at a demonstration garden in Uwope Cell, Abira East Ward, Zombo town council. The team was led by John Etin, a research officer in charge of planning. Under the initiative, NARO trained the initial 15 beneficiaries under the Zombo Town Council Goat Farmers’ Group to pilot the project. Etin said similar interventions are being implemented in Nebbi, Pakwach, Madi-Okollo and Yumbe districts. He added that NARO plans to conduct demonstrations and adaptive trials across all parishes in West Nile. He explained that the Mubende goat genotype is being promoted due to its adaptability and desirable production traits. “NARO is promoting the Mubende goat breed because it is scientifically proven to be adaptable to conditions in West Nile and has unique traits compared to other goat genotypes. This is an opportunity for a community breeding programme where NARO builds the capacity of farmers who will receive this support,” Etin said. Dr Jimmy Pithua, a Zombo district official supervising the beneficiaries’ scheme, said the district will monitor the animals and provide technical guidance to ensure successful multiplication of the breed. “As a matter of fact, we received the bucks that were pledged in December 2025. I appeal to the farmers who received them to unite,” Pithua said. Farmers in Zombo district have traditionally reared local goat breeds using indigenous knowledge, often earning low returns. Officials say the intervention is expected to improve productivity, promote commercial goat farming and increase incomes from small landholdings. Denis Onega, a farmer from Ubimo Cell in Abira West Ward, Zombo town council, urged government to increase the number of Mubende bucks so that more farmers can benefit. The appeal was echoed by Michael Cwothembo, a resident of Awanya Cell in the same ward. Zombo district production officer Dr Walter Kumakech and agricultural officer Patrick Aneniu encouraged neighbouring farmers to take advantage of the improved breed to upgrade local goats through crossbreeding. Your email address will not be published. Required fields are marked * Comment * Name * Email * Website Save my name, email, and website in this browser for the next time I comment. Δ Sign up and get daily updates right to your inbox. Link Copy link"
