month,source,pred_final,count
2026-03,The Observer,delay_time_overrun,27
2026-03,The Observer,governance_oversight_failure,1
2026-03,The Observer,land_row_dispute,1
2026-04,New Vision,delay_time_overrun,57
2026-04,New Vision,land_row_dispute,8
2026-04,New Vision,governance_oversight_failure,3
2026-04,New Vision,quality_technical_defect,3
2026-04,The Observer,delay_time_overrun,17
2026-04,The Observer,procurement_irregularity,4
2026-04,The Observer,contract_management_failure,3
2026-04,The Observer,governance_oversight_failure,2
2026-04,The Observer,land_row_dispute,1
