publication_date,source,title,url
2016-11-22,The Observer,Wolokoso: Kadaga visitors worry Busoga MPs,https://observer.ug/news/wolokoso-kadaga-visitors-worry-busoga-mps/
2016-11-25,The Observer,Akena’s UPC banking on Museveni to stay in EALA,https://observer.ug/news/akena-s-upc-banking-on-museveni-to-stay-in-eala/
2016-11-25,The Observer,"Bahiga always suspected that Kamoga could kill, says witness",https://observer.ug/news/bahiga-always-suspected-that-kamoga-could-kill-says-witness/
2016-11-25,The Observer,DStv partners Stanbic bank,https://observer.ug/business/business-business/dstv-partners-stanbic-bank/
2016-11-25,The Observer,Gulf Air resumes Entebbe flights,https://observer.ug/business/business-business/gulf-air-resumes-entebbe-flights/
2016-11-25,The Observer,"Israel dumps Eritrea, Sudan refugees in Uganda, Rwanda",https://observer.ug/news/israel-dumps-eritrea-sudan-refugees-in-uganda-rwanda/
2016-11-25,The Observer,UBL starts Shs 300m sanitation project for Nakawa traders,https://observer.ug/business/business-business/ubl-starts-shs-300m-sanitation-project-for-nakawa-traders/
2016-11-25,The Observer,UN pins Uganda for selling weapons to South Sudan,https://observer.ug/news/un-pins-uganda-for-selling-weapons-to-south-sudan/
2016-11-25,The Observer,We forced Dr Besigye to stand in 2016 – Ssemujju,https://observer.ug/news/we-forced-dr-besigye-to-stand-in-2016-ssemujju/
2016-11-25,The Observer,"‘It serves you right’ – Museveni blasts America, Europe over Trump, Brexit votes",https://observer.ug/news/it-serves-you-right-museveni-blasts-america-europe-over-trump-brexit-votes/
2016-11-26,The Observer,"UPDF operation in Kasese leaves 12 dead, 10 in jail",https://observer.ug/news/updf-operation-in-kasese-leaves-12-dead-10-in-jail/
2016-11-27,The Observer,MPs from tea-growing areas push for national authority,https://observer.ug/news/mps-from-tea-growing-areas-push-for-national-authority/
2016-11-27,The Observer,Mbabazi youths mobilise against age-limit removal,https://observer.ug/news/mbabazi-youths-mobilise-against-age-limit-removal/
2016-11-28,The Observer,Anite defies Kasaija over UEGCL top job,https://observer.ug/news/anite-defies-kasaija-over-uegcl-top-job/
2016-11-28,The Observer,Besigye: Museveni won’t reach 2021,https://observer.ug/news/besigye-museveni-won-t-reach-2021/
2016-11-28,The Observer,Court stops govt from reorganising bus terminals,https://observer.ug/news/court-stops-govt-from-reorganising-bus-terminals/
2016-11-28,The Observer,"FAO, lands ministry push for land registration",https://observer.ug/business/business-business/fao-lands-ministry-push-for-land-registration/
2016-11-28,The Observer,Government plans for more mini power dams,https://observer.ug/business/business-business/government-plans-for-more-mini-power-dams/
2016-11-28,The Observer,Mao: Museveni betrayed opposition on EC,https://observer.ug/news/mao-museveni-betrayed-opposition-on-ec/
2016-11-28,The Observer,"Mawale village, where Amin Museveni histories collide",https://observer.ug/news/mawale-village-where-amin-museveni-histories-collide/
2016-11-28,The Observer,Police build post to protect prisons boss’ disputed land,https://observer.ug/news/police-build-post-to-protect-prisons-boss-disputed-land/
2016-11-28,The Observer,Questions as another Muslim cleric is killed,https://observer.ug/news/questions-as-another-muslim-cleric-is-killed/
2016-11-28,The Observer,Superior courts stifling cases against corrupt officials – judge,https://observer.ug/news/superior-courts-stifling-cases-against-corrupt-officials-judge/
2016-11-28,The Observer,Ubos report: Poverty gets worse up North,https://observer.ug/news/ubos-report-poverty-gets-worse-up-north/
2016-11-28,The Observer,Ugandans told to invest in waste management,https://observer.ug/business/business-business/ugandans-told-to-invest-in-waste-management/
2016-11-30,The Observer,Banks ordered to install in-country data centers,https://observer.ug/business/banks-ordered-to-install-in-country-data-centers/
2016-11-30,The Observer,CMI joins Major Kiggundu probe,https://observer.ug/news/cmi-joins-major-kiggundu-probe/
2016-11-30,The Observer,Citizens challenge appointment of MPs to cabinet,https://observer.ug/news/citizens-challenge-appointment-of-mps-to-cabinet/
