publication_date,source,title,url
2016-11-22,The Observer,Wolokoso: Kadaga visitors worry Busoga MPs,https://observer.ug/news/wolokoso-kadaga-visitors-worry-busoga-mps/
2016-11-25,The Observer,"Israel dumps Eritrea, Sudan refugees in Uganda, Rwanda",https://observer.ug/news/israel-dumps-eritrea-sudan-refugees-in-uganda-rwanda/
2016-11-25,The Observer,UBL starts Shs 300m sanitation project for Nakawa traders,https://observer.ug/business/business-business/ubl-starts-shs-300m-sanitation-project-for-nakawa-traders/
2016-11-25,The Observer,UN pins Uganda for selling weapons to South Sudan,https://observer.ug/news/un-pins-uganda-for-selling-weapons-to-south-sudan/
2016-11-25,The Observer,We forced Dr Besigye to stand in 2016 – Ssemujju,https://observer.ug/news/we-forced-dr-besigye-to-stand-in-2016-ssemujju/
2016-11-28,The Observer,Anite defies Kasaija over UEGCL top job,https://observer.ug/news/anite-defies-kasaija-over-uegcl-top-job/
2016-11-28,The Observer,"FAO, lands ministry push for land registration",https://observer.ug/business/business-business/fao-lands-ministry-push-for-land-registration/
2016-11-28,The Observer,Government plans for more mini power dams,https://observer.ug/business/business-business/government-plans-for-more-mini-power-dams/
2016-11-28,The Observer,"Mawale village, where Amin Museveni histories collide",https://observer.ug/news/mawale-village-where-amin-museveni-histories-collide/
2016-11-28,The Observer,Police build post to protect prisons boss’ disputed land,https://observer.ug/news/police-build-post-to-protect-prisons-boss-disputed-land/
2016-11-28,The Observer,Ubos report: Poverty gets worse up North,https://observer.ug/news/ubos-report-poverty-gets-worse-up-north/
2016-11-30,The Observer,Banks ordered to install in-country data centers,https://observer.ug/business/banks-ordered-to-install-in-country-data-centers/
2016-11-30,The Observer,Citizens challenge appointment of MPs to cabinet,https://observer.ug/news/citizens-challenge-appointment-of-mps-to-cabinet/
2016-11-30,The Observer,Inspectorate of government loses Shs 18.4m as MPs shun meeting,https://observer.ug/news/inspectorate-of-government-loses-shs-18-4m-as-mps-shun-meeting/
2016-11-30,The Observer,Kasese: Religious leaders call for end to the bloodshed,https://observer.ug/news/kasese-religious-leaders-call-for-end-to-the-bloodshed/
2016-11-30,The Observer,MPs blame Museveni for Kasese clashes,https://observer.ug/news/mps-blame-museveni-for-kasese-clashes/
2016-11-30,The Observer,Mumbere charged as Kasese killings raise more questions,https://observer.ug/news/mumbere-charged-as-kasese-killings-raise-more-questions/
2016-11-30,The Observer,New land electronic card will fight fraud – Buganda,https://observer.ug/business/new-land-electronic-card-will-fight-fraud-buganda/
2016-11-30,The Observer,Otunnu family seeks Shs 2bn from Museveni,https://observer.ug/news/otunnu-family-seeks-shs-2bn-from-museveni/
2016-12-02,The Observer,Kadaga names MPs to probe Utl,https://observer.ug/news/kadaga-names-mps-to-probe-utl/
2016-12-02,The Observer,New anti-narcotics law begins to bite,https://observer.ug/news/new-anti-narcotics-law-begins-to-bite/
2016-12-02,The Observer,Tracing Uganda’s unresolved murders,https://observer.ug/news/tracing-uganda-s-unresolved-murders/
2016-12-02,The Observer,Why Rwenzori region is trapped in chronic violence,https://observer.ug/news/why-rwenzori-region-is-trapped-in-chronic-violence/
2016-12-02,The Observer,Why the state struggles to nail murder suspects,https://observer.ug/news/why-the-state-struggles-to-nail-murder-suspects/
2016-12-05,The Observer,Govt courts Indian leather investors,https://observer.ug/business/govt-courts-indian-leather-investors/
2016-12-05,The Observer,Gulu locals panic over rising killings,https://observer.ug/news/gulu-locals-panic-over-rising-killings/
2016-12-05,The Observer,"Kasese: Crops versus cattle, and the politics of kingdoms",https://observer.ug/news/kasese-crops-versus-cattle-and-the-politics-of-kingdoms/
2016-12-05,The Observer,"Keep off Makerere, Ddumba tells Besigye",https://observer.ug/news/keep-off-makerere-ddumba-tells-besigye/
2016-12-05,The Observer,"Meet Mfumukeko, former refugee at the helm of EAC",https://observer.ug/news/news-news/meet-mfumukeko-former-refugee-at-the-helm-of-eac/
2016-12-05,The Observer,"Museveni, Mpuuga faceoff over wealth Creation",https://observer.ug/news/news-news/museveni-mpuuga-faceoff-over-wealth-creation/
2016-12-05,The Observer,Wolokoso: Nambooze scares MPs off alcohol,https://observer.ug/news/wolokoso-nambooze-scares-mps-off-alcohol/
2016-12-06,The Observer,"Kanyamunyu girlfriend, brother sent back to Luzira",https://observer.ug/news/kanyamunyu-girlfriend-brother-sent-back-to-luzira/
2016-12-07,The Observer,Buganda kingdom seeking investors,https://observer.ug/business/buganda-kingdom-seeking-investors/
2016-12-07,The Observer,Climate change could fail middle-income goal – govt,https://observer.ug/news/climate-change-could-fail-middle-income-goal-govt/
2016-12-07,The Observer,Here’s how vehicle inspection will work,https://observer.ug/news/here-s-how-vehicle-inspection-will-work/
2016-12-07,The Observer,Inside the ignored Omaswa report on Makerere University,https://observer.ug/news/inside-the-ignored-omaswa-report-on-makerere-university/
2016-12-07,The Observer,Judicial officers blackmailed – Katureebe,https://observer.ug/news/judicial-officers-blackmailed-katureebe/
2016-12-07,The Observer,Karuma to solve cracks,https://observer.ug/business/karuma-to-solve-cracks/
2016-12-07,The Observer,Land for oil waste plant given illegally – minister,https://observer.ug/business/land-for-oil-waste-plant-given-illegally-minister/
2016-12-07,The Observer,MPs detain govt bosses over Shs 579bn,https://observer.ug/news/mps-detain-govt-bosses-over-shs-579bn/
2016-12-07,The Observer,Tour operators cry foul over Kasese,https://observer.ug/business/tour-operators-cry-foul-over-kasese/
2016-12-07,The Observer,Will South Sudan influence pace of EAC integration?,https://observer.ug/business/will-south-sudan-influence-pace-of-eac-integration/
2016-12-08,The Observer,Hundreds demonstrate against MPs tax exemption,https://observer.ug/news/hundreds-demonstrate-against-mps-tax-exemption/
2016-12-08,The Observer,Journalists not asking the right questions – Eric Chinje,https://observer.ug/news/journalists-not-asking-the-right-questions-eric-chinje/
2016-12-08,The Observer,UK offers £500m credit for investments in Uganda’s oil sector,https://observer.ug/business/uk-ofers-500m-credit-for-investments-in-uganda-s-oil-sector/
2016-12-09,The Observer,UIA touts natural waste treatment,https://observer.ug/news/uia-touts-natural-waste-treatment/
2016-12-11,The Observer,Museveni sounds ‘war’ drums against environmental degradation,https://observer.ug/news/museveni-sounds-war-drums-against-environment-degradation/
2016-12-12,The Observer,Combating corruption takes total commitment – Agaba,https://observer.ug/news/combating-corruption-takes-total-commitment-agaba/
2016-12-12,The Observer,Dennis Adim: EALA needs the voice of the youth,https://observer.ug/news/dennis-adim-eala-needs-the-voice-of-the-youth/
2016-12-12,The Observer,Local govt ministry in Shs 5.5bn scandal,https://observer.ug/news/local-govt-ministry-in-shs-5-5bn-scandal/
2016-12-12,The Observer,"Medical Stores runs out of malaria, hepatitis B drugs",https://observer.ug/news/news-news/medical-stores-runs-out-of-malaria-hepatitis-b-drugs/
2016-12-12,The Observer,Ministers in ugly quarrel,https://observer.ug/news/ministers-in-ugly-quarrel/
2016-12-12,The Observer,Northern Uganda’s untold oil story,https://observer.ug/news/northern-uganda-s-untold-oil-story/
2016-12-12,The Observer,The public needs to trust MPs – Kalemba,https://observer.ug/news/the-public-needs-to-trust-mps-kalemba/
2016-12-12,The Observer,Wolokoso: MP cries over Janet’s inaccessibility,https://observer.ug/news/wolokoso-mp-cries-over-janet-s-inaccessibility/
2016-12-12,The Observer,"‘Oil companies dumped waste on my land, and I am still paying the price’",https://observer.ug/news/oil-companies-dumped-waste-on-my-land-and-i-am-still-paying-the-price/
2016-12-13,The Observer,Besigye drags Civil Aviation Authority to court,https://observer.ug/news/besigye-drags-civil-aviation-authority-to-court/
2016-12-13,The Observer,E.A largest solar power plant commissioned in Soroti,https://observer.ug/news/e-a-largest-solar-power-plant-commissioned-in-soroti/
2016-12-14,The Observer,"Agaba’s last thoughts on Luzira deaths, Jennifer Musisi & KCCA",https://observer.ug/news/agaba-s-last-thoughts-on-luzira-deaths-jennifer-musisi-kcca/
2016-12-14,The Observer,Court trashes Mabirizi in Kabaka land case,https://observer.ug/news/court-trashes-mabirizi-in-kabaka-land-case/
2016-12-14,The Observer,Insurance firms to pool funds for oil industry,https://observer.ug/business/insurance-firms-to-pool-funds-for-oil-industry/
2016-12-14,The Observer,Insurers urged on being professional,https://observer.ug/business/insurers-urged-on-being-professional/
2016-12-14,The Observer,Solar interest grows as Soroti project takes off,https://observer.ug/business/solar-interest-grows-as-soroti-project-takes-off/
2016-12-14,The Observer,"UNDP, Belgium partner to monitor service delivery",https://observer.ug/news/undp-belgium-partner-to-monitor-service-delivery/
2016-12-14,The Observer,Uganda crop scientists get global recognition,https://observer.ug/news/uganda-crop-scientists-get-global-recognition/
2016-12-14,The Observer,Uganda launches East Africa’s largest solar power plant,https://observer.ug/business/uganda-launches-east-africa-s-largest-solar-power-plant/
2016-12-14,The Observer,Ugandans to pay to use Busega-Mpigi highway,https://observer.ug/news/ugandans-to-pay-to-use-busega-mpigi-highway/
2016-12-16,The Observer,BOU lowers key rate as businesses face tough times,https://observer.ug/business/bou-lowers-key-rate-as-businesses-face-tough-times/
2016-12-16,The Observer,EPRC wins accolade,https://observer.ug/business/eprc-wins-accolade/
2016-12-16,The Observer,"Go slow on palace redevelopment, Mayiga told",https://observer.ug/news/go-slow-on-palace-redevelopment-mayiga-told/
2016-12-16,The Observer,Govt receives Shs 340bn for 45 MW Muzizi power project,https://observer.ug/business/govt-receives-shs-340bn-for-45-mw-muzizi-power-project/
2016-12-16,The Observer,It’s not just Acholi; even Bunyoro decries govt neglect on oil matters,https://observer.ug/news/it-s-not-just-acholi-even-bunyoro-decries-govt-neglect-on-oil-matters/
2016-12-16,The Observer,Makerere dons fail to vote on reopening,https://observer.ug/news/makerere-dons-fail-to-vote-on-reopening/
2016-12-16,The Observer,"Minerals key, says Kasaija as UNCDF marks 50 years",https://observer.ug/news/minerals-key-says-kasaija-as-uncdf-marks-50-years/
2016-12-16,The Observer,Police called in as new ‘Omugabe’ claims Ankole throne,https://observer.ug/news/police-called-in-as-new-omugabe-claims-ankole-throne/
2016-12-16,The Observer,Transcripts light up Kyambogo graduation,https://observer.ug/news/transcripts-light-up-kyambogo-graduation/
2016-12-17,The Observer,Chaos as bailiffs attach Gulu district assets over Shs 4.4bn,https://observer.ug/news/chaos-as-bailiffs-attach-gulu-district-assets-over-shs-4-4bn/
2016-12-17,The Observer,Utl licence should have been revoked 5 years ago – UCC,https://observer.ug/news/utl-licence-should-have-been-revoked-5-years-ago-ucc/
2016-12-19,The Observer,Couple sues Marie Stopes over unplanned child,https://observer.ug/news/couple-sues-marie-stopes-over-unplanned-child/
2016-12-19,The Observer,MP Nandala-Mafabi faults Utl on Shs 670bn debts,https://observer.ug/news/mp-nandala-mafabi-faults-utl-on-shs-670bn-debts/
2016-12-19,The Observer,"Museveni, Akena killing UPC – Bossa",https://observer.ug/news/museveni-akena-killing-upc-bossa/
2016-12-19,The Observer,NWSC wants Shs 90bn to avail water for all,https://observer.ug/news/nwsc-wants-shs-90bn-to-avail-water-for-all/
2016-12-19,The Observer,"Rugunda speaks on Makerere, fighting ministers",https://observer.ug/news/rugunda-speaks-on-makerere-fighting-ministers/
2016-12-20,The Observer,"FIFA fines Uganda Shs 17m, Burundi Shs 55m",https://observer.ug/news/fifa-fines-uganda-shs-17m-burundi-shs-55m/
2016-12-21,The Observer,Cement industry in huge leaps as public projects push up demand,https://observer.ug/business/cement-industry-in-huge-leaps-as-public-projects-push-up-demand/
