month,source,pred_final,count
2015-10,The Observer,land_row_dispute,4
2015-10,The Observer,procurement_irregularity,2
2015-10,The Observer,delay_time_overrun,1
2016-11,The Observer,land_row_dispute,17
2016-11,The Observer,procurement_irregularity,5
2016-11,The Observer,delay_time_overrun,3
2016-11,The Observer,contract_management_failure,2
2016-11,The Observer,governance_oversight_failure,1
2016-12,The Observer,land_row_dispute,91
2016-12,The Observer,delay_time_overrun,22
2016-12,The Observer,contract_management_failure,19
2016-12,The Observer,procurement_irregularity,16
2016-12,The Observer,governance_oversight_failure,12
2016-12,The Observer,quality_technical_defect,5
2017-01,The Observer,land_row_dispute,4
2017-01,The Observer,delay_time_overrun,3
2017-01,The Observer,procurement_irregularity,1
2017-01,The Observer,quality_technical_defect,1
2017-03,The Observer,land_row_dispute,31
2017-03,The Observer,delay_time_overrun,3
2017-03,The Observer,governance_oversight_failure,1
2017-04,The Observer,land_row_dispute,3
2017-05,The Observer,land_row_dispute,32
2017-05,The Observer,delay_time_overrun,7
2017-05,The Observer,procurement_irregularity,3
2017-06,The Observer,contract_management_failure,5
2017-06,The Observer,land_row_dispute,2
2017-06,The Observer,quality_technical_defect,1
2017-07,The Observer,land_row_dispute,5
2017-07,The Observer,delay_time_overrun,4
2017-07,The Observer,governance_oversight_failure,3
2017-07,The Observer,procurement_irregularity,1
2017-08,The Observer,land_row_dispute,15
2017-08,The Observer,procurement_irregularity,9
2017-08,The Observer,delay_time_overrun,4
2017-08,The Observer,contract_management_failure,3
2017-08,The Observer,governance_oversight_failure,2
2017-09,The Observer,land_row_dispute,5
2017-09,The Observer,delay_time_overrun,1
2017-09,The Observer,quality_technical_defect,1
2017-10,The Observer,land_row_dispute,2
2017-10,The Observer,procurement_irregularity,2
2017-10,The Observer,contract_management_failure,1
2017-10,The Observer,delay_time_overrun,1
2017-11,The Observer,procurement_irregularity,4
2017-11,The Observer,land_row_dispute,2
2017-11,The Observer,delay_time_overrun,1
2017-11,The Observer,governance_oversight_failure,1
2017-12,The Observer,land_row_dispute,4
2017-12,The Observer,delay_time_overrun,1
2017-12,The Observer,procurement_irregularity,1
2018-01,The Observer,procurement_irregularity,4
2018-01,The Observer,land_row_dispute,3
2018-02,The Observer,land_row_dispute,3
2018-02,The Observer,delay_time_overrun,2
2018-02,The Observer,governance_oversight_failure,1
2018-02,The Observer,procurement_irregularity,1
2018-03,The Observer,land_row_dispute,2
2018-03,The Observer,delay_time_overrun,1
2018-03,The Observer,governance_oversight_failure,1
2018-03,The Observer,quality_technical_defect,1
2018-04,The Observer,delay_time_overrun,1
2018-05,The Observer,contract_management_failure,3
2018-05,The Observer,land_row_dispute,3
2018-05,The Observer,delay_time_overrun,2
2018-05,The Observer,procurement_irregularity,2
2018-06,The Observer,contract_management_failure,1
2018-06,The Observer,land_row_dispute,1
2018-06,The Observer,quality_technical_defect,1
2018-08,The Observer,land_row_dispute,4
2018-09,The Observer,delay_time_overrun,2
2018-09,The Observer,governance_oversight_failure,1
2018-09,The Observer,land_row_dispute,1
2018-10,The Observer,land_row_dispute,2
2018-10,The Observer,procurement_irregularity,1
2018-11,The Observer,land_row_dispute,10
2018-11,The Observer,procurement_irregularity,6
2018-11,The Observer,delay_time_overrun,3
2018-12,The Observer,procurement_irregularity,2
2019-01,The Observer,land_row_dispute,4
2019-01,The Observer,procurement_irregularity,1
2019-02,The Observer,governance_oversight_failure,2
2019-02,The Observer,land_row_dispute,2
2019-02,The Observer,procurement_irregularity,1
2019-03,The Observer,quality_technical_defect,1
2019-04,The Observer,land_row_dispute,2
2019-04,The Observer,delay_time_overrun,1
2019-05,The Observer,land_row_dispute,9
2019-05,The Observer,delay_time_overrun,4
2019-05,The Observer,governance_oversight_failure,1
2019-05,The Observer,procurement_irregularity,1
2019-07,The Observer,procurement_irregularity,2
2019-07,The Observer,quality_technical_defect,1
2019-08,The Observer,procurement_irregularity,1
2019-09,The Observer,land_row_dispute,8
2019-09,The Observer,delay_time_overrun,2
2019-09,The Observer,governance_oversight_failure,1
2019-09,The Observer,procurement_irregularity,1
2019-09,The Observer,quality_technical_defect,1
2019-10,The Observer,land_row_dispute,3
2019-10,The Observer,delay_time_overrun,2
2019-10,The Observer,contract_management_failure,1
2019-10,The Observer,procurement_irregularity,1
2019-11,The Observer,land_row_dispute,4
2019-11,The Observer,delay_time_overrun,1
2019-12,The Observer,delay_time_overrun,3
2019-12,The Observer,land_row_dispute,1
2020-01,The Observer,delay_time_overrun,12
2020-01,The Observer,land_row_dispute,8
2020-01,The Observer,procurement_irregularity,3
2020-01,The Observer,contract_management_failure,1
2020-01,The Observer,governance_oversight_failure,1
2020-02,The Observer,contract_management_failure,3
2020-02,The Observer,delay_time_overrun,3
2020-02,The Observer,land_row_dispute,2
2020-02,The Observer,procurement_irregularity,2
2020-03,The Observer,delay_time_overrun,2
2020-03,The Observer,procurement_irregularity,1
2020-04,The Observer,delay_time_overrun,1
2020-05,The Observer,delay_time_overrun,1
2020-05,The Observer,land_row_dispute,1
2020-06,The Observer,land_row_dispute,12
2020-06,The Observer,delay_time_overrun,1
2020-07,The Observer,contract_management_failure,6
2020-07,The Observer,land_row_dispute,2
2020-07,The Observer,delay_time_overrun,1
2020-08,The Observer,land_row_dispute,5
2020-08,The Observer,delay_time_overrun,4
2020-08,The Observer,contract_management_failure,2
2020-09,The Observer,land_row_dispute,4
2020-09,The Observer,procurement_irregularity,3
2020-09,The Observer,delay_time_overrun,2
2020-09,The Observer,quality_technical_defect,2
2020-09,The Observer,contract_management_failure,1
2020-09,The Observer,governance_oversight_failure,1
2020-10,The Observer,land_row_dispute,2
2020-11,The Observer,governance_oversight_failure,3
2020-11,The Observer,land_row_dispute,2
2020-11,The Observer,delay_time_overrun,1
2020-12,The Observer,land_row_dispute,4
2020-12,The Observer,delay_time_overrun,1
2020-12,The Observer,procurement_irregularity,1
2021-01,The Observer,land_row_dispute,3
2021-01,The Observer,procurement_irregularity,1
2021-02,The Observer,delay_time_overrun,4
2021-02,The Observer,governance_oversight_failure,2
2021-03,The Observer,delay_time_overrun,23
2021-03,The Observer,land_row_dispute,23
2021-03,The Observer,procurement_irregularity,7
2021-03,The Observer,governance_oversight_failure,2
2021-04,The Observer,land_row_dispute,14
2021-04,The Observer,contract_management_failure,9
2021-04,The Observer,procurement_irregularity,9
2021-04,The Observer,delay_time_overrun,5
2021-04,The Observer,governance_oversight_failure,1
2021-04,The Observer,quality_technical_defect,1
2021-05,The Observer,land_row_dispute,2
2021-06,The Observer,delay_time_overrun,1
2021-06,The Observer,governance_oversight_failure,1
2021-06,The Observer,land_row_dispute,1
2021-07,The Observer,procurement_irregularity,1
2021-08,The Observer,land_row_dispute,8
2021-08,The Observer,delay_time_overrun,1
2021-08,The Observer,procurement_irregularity,1
2021-09,The Observer,land_row_dispute,5
2021-10,The Observer,land_row_dispute,23
2021-10,The Observer,delay_time_overrun,20
2021-10,The Observer,contract_management_failure,10
2021-10,The Observer,procurement_irregularity,5
2021-10,The Observer,governance_oversight_failure,1
2021-10,The Observer,payment_financial_dispute,1
2021-10,The Observer,quality_technical_defect,1
2021-12,The Observer,land_row_dispute,4
2021-12,The Observer,procurement_irregularity,4
2021-12,The Observer,delay_time_overrun,2
2021-12,The Observer,contract_management_failure,1
2022-01,The Observer,land_row_dispute,5
2022-01,The Observer,contract_management_failure,3
2022-01,The Observer,governance_oversight_failure,1
2022-01,The Observer,procurement_irregularity,1
2022-02,The Observer,procurement_irregularity,1
2022-02,The Observer,quality_technical_defect,1
2022-03,The Observer,delay_time_overrun,3
2022-03,The Observer,land_row_dispute,2
2022-04,The Observer,land_row_dispute,15
2022-04,The Observer,procurement_irregularity,5
2022-04,The Observer,delay_time_overrun,2
2022-04,The Observer,governance_oversight_failure,2
2022-04,The Observer,contract_management_failure,1
2022-05,The Observer,land_row_dispute,1
2022-05,The Observer,quality_technical_defect,1
2022-06,The Observer,land_row_dispute,22
2022-06,The Observer,delay_time_overrun,5
2022-06,The Observer,procurement_irregularity,4
2022-06,The Observer,governance_oversight_failure,2
2022-06,The Observer,quality_technical_defect,2
2022-07,The Observer,land_row_dispute,10
2022-07,The Observer,delay_time_overrun,2
2022-07,The Observer,contract_management_failure,1
2022-07,The Observer,procurement_irregularity,1
2022-08,The Observer,delay_time_overrun,6
2022-08,The Observer,land_row_dispute,4
2022-08,The Observer,contract_management_failure,2
2022-08,The Observer,procurement_irregularity,2
2022-08,The Observer,quality_technical_defect,1
2022-09,The Observer,procurement_irregularity,4
2022-09,The Observer,delay_time_overrun,2
2022-09,The Observer,land_row_dispute,2
2022-10,The Observer,contract_management_failure,15
2022-10,The Observer,land_row_dispute,10
2022-10,The Observer,procurement_irregularity,6
2022-10,The Observer,delay_time_overrun,4
2022-10,The Observer,quality_technical_defect,3
2022-10,The Observer,governance_oversight_failure,2
2022-11,The Observer,land_row_dispute,2
2022-11,The Observer,governance_oversight_failure,1
2022-12,The Observer,delay_time_overrun,1
2022-12,The Observer,land_row_dispute,1
2023-01,The Observer,contract_management_failure,1
2023-01,The Observer,land_row_dispute,1
2023-02,The Observer,procurement_irregularity,11
2023-02,The Observer,delay_time_overrun,10
2023-02,The Observer,land_row_dispute,9
2023-02,The Observer,governance_oversight_failure,2
2023-03,The Observer,governance_oversight_failure,3
2023-03,The Observer,land_row_dispute,3
