publication_date,title,url
2015-10-09,How MTN Uganda’s offshore stash sent URA on the hunt,https://observer.ug/business/how-mtn-ugandas-offshore-stash-sent-ura-on-the-hunt/
2016-11-21,Wolokoso: Kadaga visitors worry Busoga MPs,https://observer.ug/news/wolokoso-kadaga-visitors-worry-busoga-mps/
2016-11-25,"Bahiga always suspected that Kamoga could kill, says witness",https://observer.ug/news/bahiga-always-suspected-that-kamoga-could-kill-says-witness/
2016-11-25,DStv partners Stanbic bank,https://observer.ug/business/business-business/dstv-partners-stanbic-bank/
2016-11-25,"Israel dumps Eritrea, Sudan refugees in Uganda, Rwanda",https://observer.ug/news/israel-dumps-eritrea-sudan-refugees-in-uganda-rwanda/
2016-11-25,UBL starts Shs 300m sanitation project for Nakawa traders,https://observer.ug/business/business-business/ubl-starts-shs-300m-sanitation-project-for-nakawa-traders/
2016-11-25,We forced Dr Besigye to stand in 2016 – Ssemujju,https://observer.ug/news/we-forced-dr-besigye-to-stand-in-2016-ssemujju/
2016-11-27,MPs from tea-growing areas push for national authority,https://observer.ug/news/mps-from-tea-growing-areas-push-for-national-authority/
2016-11-27,Mbabazi youths mobilise against age-limit removal,https://observer.ug/news/mbabazi-youths-mobilise-against-age-limit-removal/
2016-11-28,Court stops govt from reorganising bus terminals,https://observer.ug/news/court-stops-govt-from-reorganising-bus-terminals/
2016-11-28,"FAO, lands ministry push for land registration",https://observer.ug/business/business-business/fao-lands-ministry-push-for-land-registration/
2016-11-28,Government plans for more mini power dams,https://observer.ug/business/business-business/government-plans-for-more-mini-power-dams/
2016-11-30,CMI joins Major Kiggundu probe,https://observer.ug/news/cmi-joins-major-kiggundu-probe/
2016-11-30,Kasese: Religious leaders call for end to the bloodshed,https://observer.ug/news/kasese-religious-leaders-call-for-end-to-the-bloodshed/
2016-11-30,MPs blame Museveni for Kasese clashes,https://observer.ug/news/mps-blame-museveni-for-kasese-clashes/
2016-11-30,Mumbere charged as Kasese killings raise more questions,https://observer.ug/news/mumbere-charged-as-kasese-killings-raise-more-questions/
2016-11-30,Otunnu family seeks Shs 2bn from Museveni,https://observer.ug/news/otunnu-family-seeks-shs-2bn-from-museveni/
2016-12-02,Finance ministers bury hatchet on UEGCL board,https://observer.ug/news/finance-ministers-bury-hatchet-on-uegcl-board/
2016-12-02,Kadaga names MPs to probe Utl,https://observer.ug/news/kadaga-names-mps-to-probe-utl/
2016-12-02,Police arrest CMI officers over sale of guns to thugs,https://observer.ug/news/police-arrest-cmi-officers-over-sale-of-guns-to-thugs/
2016-12-02,Tracing Uganda’s unresolved murders,https://observer.ug/news/tracing-uganda-s-unresolved-murders/
2016-12-02,Why the state struggles to nail murder suspects,https://observer.ug/news/why-the-state-struggles-to-nail-murder-suspects/
2016-12-05,"Kasese killings could happen again if solutions are not found fast, MPs warn",https://observer.ug/news/news-news/kasese-killings-could-happen-again-if-solutions-are-not-found-fast-mps-warn/
2016-12-06,"Kanyamunyu girlfriend, brother sent back to Luzira",https://observer.ug/news/kanyamunyu-girlfriend-brother-sent-back-to-luzira/
2016-12-07,Business normalises in troubled Kasese,https://observer.ug/business/business-normalises-in-troubled-kasese/
2016-12-07,Inside the ignored Omaswa report on Makerere University,https://observer.ug/news/inside-the-ignored-omaswa-report-on-makerere-university/
2016-12-07,NRM bosses Tanga and Lumumba clash over salary raise,https://observer.ug/news/nrm-bosses-tanga-and-lumumba-clash-over-salary-raise/
2016-12-07,Tour operators cry foul over Kasese,https://observer.ug/business/tour-operators-cry-foul-over-kasese/
2016-12-07,Will South Sudan influence pace of EAC integration?,https://observer.ug/business/will-south-sudan-influence-pace-of-eac-integration/
