publication_date,title,url
2015-10-09,How MTN Uganda’s offshore stash sent URA on the hunt,https://observer.ug/business/how-mtn-ugandas-offshore-stash-sent-ura-on-the-hunt/
2016-11-21,Wolokoso: Kadaga visitors worry Busoga MPs,https://observer.ug/news/wolokoso-kadaga-visitors-worry-busoga-mps/
2016-11-25,"Israel dumps Eritrea, Sudan refugees in Uganda, Rwanda",https://observer.ug/news/israel-dumps-eritrea-sudan-refugees-in-uganda-rwanda/
2016-11-25,UBL starts Shs 300m sanitation project for Nakawa traders,https://observer.ug/business/business-business/ubl-starts-shs-300m-sanitation-project-for-nakawa-traders/
2016-11-25,We forced Dr Besigye to stand in 2016 – Ssemujju,https://observer.ug/news/we-forced-dr-besigye-to-stand-in-2016-ssemujju/
2016-11-28,"FAO, lands ministry push for land registration",https://observer.ug/business/business-business/fao-lands-ministry-push-for-land-registration/
2016-11-28,Government plans for more mini power dams,https://observer.ug/business/business-business/government-plans-for-more-mini-power-dams/
2016-11-30,Kasese: Religious leaders call for end to the bloodshed,https://observer.ug/news/kasese-religious-leaders-call-for-end-to-the-bloodshed/
2016-11-30,MPs blame Museveni for Kasese clashes,https://observer.ug/news/mps-blame-museveni-for-kasese-clashes/
2016-11-30,Mumbere charged as Kasese killings raise more questions,https://observer.ug/news/mumbere-charged-as-kasese-killings-raise-more-questions/
2016-11-30,Otunnu family seeks Shs 2bn from Museveni,https://observer.ug/news/otunnu-family-seeks-shs-2bn-from-museveni/
2016-12-02,Kadaga names MPs to probe Utl,https://observer.ug/news/kadaga-names-mps-to-probe-utl/
2016-12-02,Tracing Uganda’s unresolved murders,https://observer.ug/news/tracing-uganda-s-unresolved-murders/
2016-12-02,Why the state struggles to nail murder suspects,https://observer.ug/news/why-the-state-struggles-to-nail-murder-suspects/
2016-12-06,"Kanyamunyu girlfriend, brother sent back to Luzira",https://observer.ug/news/kanyamunyu-girlfriend-brother-sent-back-to-luzira/
2016-12-07,Inside the ignored Omaswa report on Makerere University,https://observer.ug/news/inside-the-ignored-omaswa-report-on-makerere-university/
2016-12-07,Tour operators cry foul over Kasese,https://observer.ug/business/tour-operators-cry-foul-over-kasese/
2016-12-07,Will South Sudan influence pace of EAC integration?,https://observer.ug/business/will-south-sudan-influence-pace-of-eac-integration/
2016-12-08,Hundreds demonstrate against MPs tax exemption,https://observer.ug/news/hundreds-demonstrate-against-mps-tax-exemption/
2016-12-08,Journalists not asking the right questions – Eric Chinje,https://observer.ug/news/journalists-not-asking-the-right-questions-eric-chinje/
2016-12-09,UIA touts natural waste treatment,https://observer.ug/news/uia-touts-natural-waste-treatment/
2016-12-12,Combating corruption takes total commitment – Agaba,https://observer.ug/news/combating-corruption-takes-total-commitment-agaba/
2016-12-12,Northern Uganda’s untold oil story,https://observer.ug/news/northern-uganda-s-untold-oil-story/
2016-12-12,The public needs to trust MPs – Kalemba,https://observer.ug/news/the-public-needs-to-trust-mps-kalemba/
2016-12-13,Besigye drags Civil Aviation Authority to court,https://observer.ug/news/besigye-drags-civil-aviation-authority-to-court/
2016-12-14,"Agaba’s last thoughts on Luzira deaths, Jennifer Musisi & KCCA",https://observer.ug/news/agaba-s-last-thoughts-on-luzira-deaths-jennifer-musisi-kcca/
2016-12-14,Insurance firms to pool funds for oil industry,https://observer.ug/business/insurance-firms-to-pool-funds-for-oil-industry/
2016-12-14,Insurers urged on being professional,https://observer.ug/business/insurers-urged-on-being-professional/
2016-12-14,Solar interest grows as Soroti project takes off,https://observer.ug/business/solar-interest-grows-as-soroti-project-takes-off/
2016-12-14,Ugandans to pay to use Busega-Mpigi highway,https://observer.ug/news/ugandans-to-pay-to-use-busega-mpigi-highway/
