actor_type,Contract Management Failure,Delay / Time Overrun,Governance / Oversight Failure,Land / RoW Dispute,Payment / Financial Dispute,Procurement Irregularity,Quality / Technical Defect
Coercive State,12,38,18,329,6,23,16
Financial Institution,2,2,4,29,1,5,2
Infrastructure Agency,2,22,3,111,4,14,14
International / Donor,1,24,0,62,0,7,9
Judiciary,33,42,20,402,3,38,10
Legislature,20,42,29,345,9,36,15
Oversight Body,8,11,13,120,7,29,7
Private / Commercial,0,1,0,68,0,1,0
State Executive,39,171,70,1055,19,89,72
Utility / Infrastructure,5,26,3,111,0,8,6
