actor,driver,region,sector
Court,land_row_dispute,Central,Other
Parliament,land_row_dispute,Central,Other
Police,land_row_dispute,Central,Other
Court,land_row_dispute,Central,Roads/Transport
Government,land_row_dispute,Central,Roads/Transport
KCCA,land_row_dispute,Central,Roads/Transport
Parliament,land_row_dispute,Central,Roads/Transport
Government,governance_oversight_failure,Central,Energy
NSSF,governance_oversight_failure,Central,Energy
Parliament,governance_oversight_failure,Central,Energy
President Museveni,governance_oversight_failure,Central,Energy
URA,governance_oversight_failure,Central,Energy
NSSF,delay_time_overrun,Central,Energy
Court,land_row_dispute,Central,Roads/Transport
Ministry of Education,land_row_dispute,Central,Roads/Transport
Court,land_row_dispute,Central,Roads/Transport
Government,land_row_dispute,Central,Roads/Transport
President Museveni,land_row_dispute,Central,Roads/Transport
UNRA,land_row_dispute,Central,Roads/Transport
Government,quality_technical_defect,Central,Roads/Transport
Ministry of Works,quality_technical_defect,Central,Roads/Transport
Government,land_row_dispute,Central,Roads/Transport
Ministry of Finance,land_row_dispute,Central,Roads/Transport
World Bank,land_row_dispute,Central,Roads/Transport
Government,land_row_dispute,Central,Buildings/Housing
URA,land_row_dispute,Central,Buildings/Housing
Court,land_row_dispute,Central,Energy
President Museveni,land_row_dispute,Central,Energy
Court,quality_technical_defect,Central,Roads/Transport
Government,quality_technical_defect,Central,Roads/Transport
Police,quality_technical_defect,Central,Roads/Transport
President Museveni,quality_technical_defect,Central,Roads/Transport
Police,delay_time_overrun,Western,Roads/Transport
Court,contract_management_failure,Central,Land/Urban
KCCA,contract_management_failure,Central,Land/Urban
Ministry of Education,contract_management_failure,Central,Land/Urban
Parliament,contract_management_failure,Central,Land/Urban
Court,land_row_dispute,Cross-border,Roads/Transport
Government,land_row_dispute,Cross-border,Roads/Transport
Parliament,land_row_dispute,Cross-border,Roads/Transport
UNRA,land_row_dispute,Cross-border,Roads/Transport
Umeme/ERA,land_row_dispute,Cross-border,Roads/Transport
World Bank,land_row_dispute,Cross-border,Roads/Transport
UNRA,quality_technical_defect,Central,Roads/Transport
Umeme/ERA,land_row_dispute,Central,Roads/Transport
Government,land_row_dispute,Central,Roads/Transport
Ministry of Works,land_row_dispute,Central,Roads/Transport
Ministry of Education,land_row_dispute,Central,Other
KCCA,land_row_dispute,Central,Land/Urban
Government,land_row_dispute,Central,Roads/Transport
Ministry of Finance,land_row_dispute,Central,Roads/Transport
UNRA,land_row_dispute,Central,Roads/Transport
Court,governance_oversight_failure,Central,Land/Urban
Government,governance_oversight_failure,Central,Land/Urban
KCCA,governance_oversight_failure,Central,Land/Urban
Ministry of Finance,governance_oversight_failure,Central,Land/Urban
