source,target,weight
delay_time_overrun,land_row_dispute,881
land_row_dispute,procurement_irregularity,529
land_row_dispute,quality_technical_defect,490
governance_oversight_failure,land_row_dispute,414
delay_time_overrun,procurement_irregularity,387
delay_time_overrun,quality_technical_defect,373
delay_time_overrun,governance_oversight_failure,311
contract_management_failure,land_row_dispute,308
governance_oversight_failure,procurement_irregularity,235
procurement_irregularity,quality_technical_defect,218
contract_management_failure,delay_time_overrun,203
land_row_dispute,payment_financial_dispute,202
governance_oversight_failure,quality_technical_defect,201
contract_management_failure,procurement_irregularity,181
delay_time_overrun,payment_financial_dispute,154
payment_financial_dispute,procurement_irregularity,149
contract_management_failure,governance_oversight_failure,121
contract_management_failure,quality_technical_defect,116
contract_management_failure,payment_financial_dispute,95
governance_oversight_failure,payment_financial_dispute,94
payment_financial_dispute,quality_technical_defect,83
