month,source,pred_final,count
2016-11,The Observer,land_row_dispute,17
2016-11,The Observer,delay_time_overrun,4
2016-11,The Observer,procurement_irregularity,1
2016-12,The Observer,land_row_dispute,256
2016-12,The Observer,delay_time_overrun,46
2016-12,The Observer,procurement_irregularity,33
2016-12,The Observer,quality_technical_defect,16
2016-12,The Observer,governance_oversight_failure,11
2016-12,The Observer,payment_financial_dispute,9
2016-12,The Observer,contract_management_failure,8
2017-01,The Observer,land_row_dispute,300
2017-01,The Observer,delay_time_overrun,58
2017-01,The Observer,procurement_irregularity,35
2017-01,The Observer,governance_oversight_failure,20
2017-01,The Observer,payment_financial_dispute,11
2017-01,The Observer,quality_technical_defect,11
2017-01,The Observer,contract_management_failure,6
2017-02,The Observer,land_row_dispute,186
2017-02,The Observer,delay_time_overrun,41
2017-02,The Observer,procurement_irregularity,18
2017-02,The Observer,quality_technical_defect,17
2017-02,The Observer,governance_oversight_failure,16
2017-02,The Observer,contract_management_failure,12
2017-02,The Observer,payment_financial_dispute,10
2017-03,The Observer,land_row_dispute,418
2017-03,The Observer,delay_time_overrun,88
2017-03,The Observer,quality_technical_defect,52
2017-03,The Observer,governance_oversight_failure,34
2017-03,The Observer,procurement_irregularity,29
2017-03,The Observer,contract_management_failure,21
2017-03,The Observer,payment_financial_dispute,17
2017-04,The Observer,land_row_dispute,219
2017-04,The Observer,delay_time_overrun,67
2017-04,The Observer,quality_technical_defect,38
2017-04,The Observer,procurement_irregularity,20
2017-04,The Observer,governance_oversight_failure,18
2017-04,The Observer,payment_financial_dispute,10
2017-04,The Observer,contract_management_failure,3
2017-05,The Observer,land_row_dispute,336
2017-05,The Observer,delay_time_overrun,71
2017-05,The Observer,procurement_irregularity,35
2017-05,The Observer,quality_technical_defect,23
2017-05,The Observer,contract_management_failure,17
2017-05,The Observer,payment_financial_dispute,16
2017-05,The Observer,governance_oversight_failure,11
2017-06,The Observer,land_row_dispute,295
2017-06,The Observer,delay_time_overrun,74
2017-06,The Observer,quality_technical_defect,24
2017-06,The Observer,governance_oversight_failure,18
2017-06,The Observer,procurement_irregularity,15
2017-06,The Observer,contract_management_failure,10
2017-06,The Observer,payment_financial_dispute,4
2017-07,The Observer,land_row_dispute,235
2017-07,The Observer,delay_time_overrun,41
2017-07,The Observer,quality_technical_defect,25
2017-07,The Observer,procurement_irregularity,12
2017-07,The Observer,contract_management_failure,11
2017-07,The Observer,governance_oversight_failure,11
2017-07,The Observer,payment_financial_dispute,8
2017-08,The Observer,land_row_dispute,340
2017-08,The Observer,delay_time_overrun,68
2017-08,The Observer,procurement_irregularity,42
2017-08,The Observer,quality_technical_defect,36
2017-08,The Observer,contract_management_failure,25
2017-08,The Observer,governance_oversight_failure,18
2017-08,The Observer,payment_financial_dispute,6
2017-09,The Observer,land_row_dispute,446
2017-09,The Observer,delay_time_overrun,51
2017-09,The Observer,quality_technical_defect,34
2017-09,The Observer,contract_management_failure,18
2017-09,The Observer,procurement_irregularity,16
2017-09,The Observer,governance_oversight_failure,12
2017-09,The Observer,payment_financial_dispute,9
2017-10,The Observer,land_row_dispute,164
2017-10,The Observer,delay_time_overrun,33
2017-10,The Observer,quality_technical_defect,20
2017-10,The Observer,governance_oversight_failure,14
2017-10,The Observer,contract_management_failure,12
2017-10,The Observer,procurement_irregularity,12
2017-10,The Observer,payment_financial_dispute,1
2017-11,The Observer,land_row_dispute,253
2017-11,The Observer,delay_time_overrun,43
2017-11,The Observer,procurement_irregularity,38
2017-11,The Observer,governance_oversight_failure,31
2017-11,The Observer,quality_technical_defect,23
2017-11,The Observer,contract_management_failure,7
2017-11,The Observer,payment_financial_dispute,3
2017-12,The Observer,land_row_dispute,52
2017-12,The Observer,delay_time_overrun,21
2017-12,The Observer,procurement_irregularity,11
2017-12,The Observer,contract_management_failure,5
2017-12,The Observer,payment_financial_dispute,3
2017-12,The Observer,quality_technical_defect,3
2017-12,The Observer,governance_oversight_failure,1
2018-01,The Observer,land_row_dispute,77
2018-01,The Observer,delay_time_overrun,22
2018-01,The Observer,procurement_irregularity,18
2018-01,The Observer,governance_oversight_failure,5
2018-01,The Observer,quality_technical_defect,5
2018-01,The Observer,payment_financial_dispute,3
2018-01,The Observer,contract_management_failure,1
2018-02,The Observer,land_row_dispute,67
2018-02,The Observer,quality_technical_defect,17
2018-02,The Observer,delay_time_overrun,10
2018-02,The Observer,procurement_irregularity,9
2018-02,The Observer,contract_management_failure,5
2018-02,The Observer,governance_oversight_failure,5
2018-02,The Observer,payment_financial_dispute,1
2018-03,The Observer,land_row_dispute,90
2018-03,The Observer,quality_technical_defect,26
2018-03,The Observer,delay_time_overrun,21
2018-03,The Observer,procurement_irregularity,6
2018-03,The Observer,governance_oversight_failure,3
2018-03,The Observer,contract_management_failure,1
2018-04,The Observer,land_row_dispute,206
2018-04,The Observer,delay_time_overrun,21
2018-04,The Observer,quality_technical_defect,18
2018-04,The Observer,procurement_irregularity,14
2018-04,The Observer,governance_oversight_failure,12
2018-04,The Observer,contract_management_failure,7
2018-04,The Observer,payment_financial_dispute,4
2018-05,The Observer,land_row_dispute,119
2018-05,The Observer,delay_time_overrun,31
2018-05,The Observer,contract_management_failure,13
2018-05,The Observer,procurement_irregularity,11
2018-05,The Observer,quality_technical_defect,10
2018-05,The Observer,governance_oversight_failure,7
2018-05,The Observer,payment_financial_dispute,5
2018-06,The Observer,land_row_dispute,105
2018-06,The Observer,delay_time_overrun,21
2018-06,The Observer,quality_technical_defect,11
2018-06,The Observer,procurement_irregularity,10
2018-06,The Observer,governance_oversight_failure,6
2018-06,The Observer,payment_financial_dispute,6
2018-06,The Observer,contract_management_failure,5
2018-07,The Observer,land_row_dispute,111
2018-07,The Observer,delay_time_overrun,23
2018-07,The Observer,payment_financial_dispute,11
2018-07,The Observer,procurement_irregularity,10
2018-07,The Observer,governance_oversight_failure,9
2018-07,The Observer,contract_management_failure,5
2018-07,The Observer,quality_technical_defect,5
2018-08,The Observer,land_row_dispute,65
2018-08,The Observer,delay_time_overrun,15
2018-08,The Observer,procurement_irregularity,9
2018-08,The Observer,governance_oversight_failure,8
2018-08,The Observer,quality_technical_defect,6
2018-08,The Observer,contract_management_failure,2
2018-08,The Observer,payment_financial_dispute,1
2018-09,The Observer,land_row_dispute,90
2018-09,The Observer,delay_time_overrun,24
2018-09,The Observer,procurement_irregularity,16
2018-09,The Observer,quality_technical_defect,16
2018-09,The Observer,governance_oversight_failure,8
2018-09,The Observer,payment_financial_dispute,5
2018-09,The Observer,contract_management_failure,3
2018-10,The Observer,land_row_dispute,131
2018-10,The Observer,quality_technical_defect,30
2018-10,The Observer,delay_time_overrun,24
2018-10,The Observer,procurement_irregularity,6
2018-10,The Observer,contract_management_failure,5
2018-10,The Observer,payment_financial_dispute,4
2018-10,The Observer,governance_oversight_failure,2
2018-11,The Observer,land_row_dispute,61
2018-11,The Observer,delay_time_overrun,22
2018-11,The Observer,contract_management_failure,4
2018-11,The Observer,governance_oversight_failure,4
2018-11,The Observer,payment_financial_dispute,4
2018-11,The Observer,quality_technical_defect,4
2018-11,The Observer,procurement_irregularity,2
2018-12,The Observer,land_row_dispute,92
2018-12,The Observer,delay_time_overrun,24
2018-12,The Observer,procurement_irregularity,14
2018-12,The Observer,governance_oversight_failure,8
2018-12,The Observer,contract_management_failure,7
2018-12,The Observer,payment_financial_dispute,6
2018-12,The Observer,quality_technical_defect,5
2019-01,The Observer,land_row_dispute,100
2019-01,The Observer,quality_technical_defect,40
2019-01,The Observer,delay_time_overrun,37
2019-01,The Observer,procurement_irregularity,17
2019-01,The Observer,contract_management_failure,13
2019-01,The Observer,governance_oversight_failure,11
2019-01,The Observer,payment_financial_dispute,7
2019-02,The Observer,land_row_dispute,39
2019-02,The Observer,delay_time_overrun,6
2019-02,The Observer,quality_technical_defect,5
2019-02,The Observer,payment_financial_dispute,4
2019-02,The Observer,contract_management_failure,1
2019-02,The Observer,procurement_irregularity,1
2019-03,The Observer,land_row_dispute,144
2019-03,The Observer,delay_time_overrun,45
2019-03,The Observer,procurement_irregularity,20
2019-03,The Observer,quality_technical_defect,14
2019-03,The Observer,payment_financial_dispute,11
2019-03,The Observer,contract_management_failure,10
2019-03,The Observer,governance_oversight_failure,6
2019-04,The Observer,land_row_dispute,113
2019-04,The Observer,delay_time_overrun,36
2019-04,The Observer,quality_technical_defect,35
2019-04,The Observer,procurement_irregularity,16
2019-04,The Observer,contract_management_failure,10
2019-04,The Observer,payment_financial_dispute,8
2019-04,The Observer,governance_oversight_failure,3
2019-05,The Observer,land_row_dispute,58
2019-05,The Observer,delay_time_overrun,9
2019-05,The Observer,quality_technical_defect,6
2019-05,The Observer,governance_oversight_failure,4
2019-05,The Observer,payment_financial_dispute,4
2019-05,The Observer,contract_management_failure,3
2019-05,The Observer,procurement_irregularity,3
2019-06,The Observer,land_row_dispute,57
2019-06,The Observer,delay_time_overrun,15
2019-06,The Observer,procurement_irregularity,8
2019-06,The Observer,payment_financial_dispute,5
2019-06,The Observer,governance_oversight_failure,2
2019-06,The Observer,contract_management_failure,1
2019-06,The Observer,quality_technical_defect,1
2019-07,The Observer,land_row_dispute,58
2019-07,The Observer,delay_time_overrun,8
2019-07,The Observer,procurement_irregularity,8
2019-07,The Observer,contract_management_failure,6
2019-07,The Observer,quality_technical_defect,4
2019-07,The Observer,payment_financial_dispute,2
2019-07,The Observer,governance_oversight_failure,1
2019-08,The Observer,land_row_dispute,104
2019-08,The Observer,delay_time_overrun,22
2019-08,The Observer,contract_management_failure,18
2019-08,The Observer,procurement_irregularity,14
2019-08,The Observer,quality_technical_defect,12
2019-08,The Observer,payment_financial_dispute,9
2019-08,The Observer,governance_oversight_failure,3
2019-09,The Observer,land_row_dispute,33
2019-09,The Observer,delay_time_overrun,8
2019-09,The Observer,quality_technical_defect,3
2019-09,The Observer,contract_management_failure,2
2019-09,The Observer,procurement_irregularity,2
2019-10,The Observer,land_row_dispute,100
2019-10,The Observer,delay_time_overrun,15
2019-10,The Observer,procurement_irregularity,7
2019-10,The Observer,governance_oversight_failure,5
2019-10,The Observer,quality_technical_defect,4
2019-10,The Observer,payment_financial_dispute,2
2019-11,The Observer,land_row_dispute,71
