actor,degree_centrality,betweenness_centrality,eigenvector_centrality
Government,1.0,0.0,0.5866446501221627
Court,1.0,0.0,0.41162937272296574
Parliament,1.0,0.0,0.3923375820085786
President Museveni,1.0,0.0,0.37511189798002814
Police,1.0,0.0,0.3014829410108031
Ministry of Finance,1.0,0.0,0.14271214615358144
KCCA,0.9090909090909092,0.0,0.130059737733274
Umeme/ERA,1.0,0.010822510822510822,0.09494272183476929
UNRA,0.9545454545454546,0.011904761904761904,0.09443827535053666
URA,0.9545454545454546,0.0,0.08674817959656561
World Bank,0.9545454545454546,0.0,0.07938547190150981
Ministry of Education,0.8636363636363636,0.028860028860028857,0.076884598884442
IGG,0.8636363636363636,0.11111111111111112,0.07305814371603751
Ministry of Health,1.0,0.0606060606060606,0.06930185241857872
Ministry of Energy,0.9545454545454546,0.08044733044733046,0.06692876076637198
Umeme,0.8636363636363636,0.03318903318903319,0.059097788172198254
Ministry of Works,0.9090909090909092,0.0,0.05394720678777377
NSSF,0.9545454545454546,0.29545454545454547,0.039301565673720264
NEMA,0.8181818181818182,0.0818903318903319,0.032765305078199976
EACOP,0.7727272727272727,0.15476190476190477,0.031746520079637325
PPDA,0.8636363636363636,0.05880230880230881,0.026956877828134315
UEGCL,0.8181818181818182,0.23737373737373735,0.018503455321251354
NWSC,0.6363636363636364,0.22907647907647907,0.014438683388492489
