year,contract_management_failure,delay_time_overrun,governance_oversight_failure,land_row_dispute,payment_financial_dispute,procurement_irregularity,quality_technical_defect,total_articles
2016,14.598540145985401,91.24087591240875,20.072992700729927,498.17518248175185,16.423357664233578,62.043795620437955,29.197080291970803,548
2017,24.785027819929187,110.60529421682685,34.3955488113303,546.956668352723,16.52335187995279,47.715393694149384,51.59332321699545,5931
2018,19.801980198019802,88.08467053601912,26.288835780129737,414.47593035165585,17.070672584499828,42.67668146124957,52.23625810856948,2929
2019,23.331173039533375,74.5301360985094,15.230071289695399,309.13804277381723,17.498379779650033,34.02462734931951,46.98639014906027,3086
2020,20.210896309314588,96.07498535442296,22.847100175746924,431.1657879320445,17.867603983596954,38.95723491505565,36.613942589338016,3414
2021,25.301204819277107,142.7710843373494,36.144578313253014,482.5301204819277,28.012048192771083,61.44578313253012,44.57831325301205,3320
2022,28.226992061158484,117.61246692149368,28.226992061158484,505.4395765951191,14.70155836518671,53.80770361658336,42.92855042634519,3401
2023,33.140772271207055,125.57008209182122,35.573122529644266,416.8440255396777,16.722408026755854,37.70142900577683,27.972027972027973,3289
2024,51.302288871349646,108.5240726124704,53.67008681925809,633.7805840568271,23.677979479084453,68.66614048934491,63.141278610891874,2534
2025,34.106412005457024,117.32605729877217,43.38335607094134,468.75852660300137,12.824010914051842,51.841746248294676,50.20463847203274,3665
