location,article_mentions,region
Kampala,949,Central
Kenya,292,Cross-border
Entebbe,259,Central
Jinja,210,Eastern
Tanzania,183,Cross-border
Gulu,164,Northern
Mukono,154,Central
Wakiso,148,Central
Hoima,139,Western
Nile,132,National Corridor
Mbale,112,Eastern
Karuma,102,Northern
Karamoja,97,Northern/Eastern
South Sudan,95,Cross-border
Lira,90,Northern
Arua,86,Northern
Soroti,82,Eastern
Tororo,80,Eastern
Nakawa,80,Central
Mubende,72,Central/Western
DRC,68,Cross-border
Isimba,64,Eastern
Kabale,63,Western
Namboole,53,Central
Nakivubo,52,Central
Lubowa,50,Central
Bunyoro,47,Western
Bujagali,36,Eastern
Kitgum,35,Northern
Kabaale,31,Western
