year,count,sum,median,max
2016,70,10137532400298.0,19250000000.0,1700000000000.0
2017,531,738257926919802.0,9000000000.0,30000000000000.0
2018,449,87096557205225.0,13000000000.0,15000000000000.0
2019,319,250731053855529.38,5300000000.0,40500000000000.0
2020,329,170732453008617.0,5000000000.0,72000000000000.0
2021,546,161322971749035.0,8200000000.0,14000000000000.0
2022,710,2782952101911299.0,5000000000.0,740000000000000.0
2023,357,1691508416402905.0,20100000000.0,604000000000000.0
2024,487,403042929901954.0,6300000000.0,109100000000000.0
2025,549,1988742987363295.0,86000000000.0,72300000000000.0
